,description,google_link,link,name,search,thumbnail
61,"Indivisible Virginia. 2334 likes · 278 talking about this. A network to help people 
in Virginia connect with the Indivisible movement and support each...",http://www.google.com/url?q=https://www.facebook.com/Indivisible-Virginia-1903755849854484/&sa=U&ved=0ahUKEwiql4-Gg4nTAhVD2IMKHYKDDT0QFggaMAE&usg=AFQjCNFas3czdy7ghPCt8isSVrkaspd2XQ,https://www.facebook.com/Indivisible-Virginia-1903755849854484/,Indivisible Virginia - Home | Facebook,"Virginia Beach , VA indivisible",
64,"Existing Virginia Indivisible Websites. Lexington ... Manassas, VA 20110. Phone: 
(703) 361-3192. Fax: (703) 361- ... 804.771.2221. Roanoke Virginia Beach ...",http://www.google.com/url?q=http://indivisibleva.net/&sa=U&ved=0ahUKEwiql4-Gg4nTAhVD2IMKHYKDDT0QFggrMAQ&usg=AFQjCNFD4-3rpOLYlsQTCLBDqXvdmHyldA,http://indivisibleva.net/,Indivisible Virginia,"Virginia Beach , VA indivisible",
71,"You've found Miami's home for the Indivisible Movement. Our single goal is to... ... 
A new big idea will be presented by James Schulman from Turn Florida Blue.",http://www.google.com/url?q=https://www.facebook.com/IndivisibleMiami/&sa=U&ved=0ahUKEwibtbmGg4nTAhWs6YMKHfUxDKQQFggZMAE&usg=AFQjCNH58q43K0Sj1tki0fUYPa3k2MgRrA,https://www.facebook.com/IndivisibleMiami/,Indivisible Miami - Home | Facebook,"Miami , FL indivisible",
72,"Stephen P. Milo shared a link to the group: Indivisible Miami-Dade and Broward. · 
11 hrs · El Portal, FL · .... March 29 at 7:26am · El Portal, FL ·. WALK IN THE ...",http://www.google.com/url?q=https://www.facebook.com/indivisiblemdb/&sa=U&ved=0ahUKEwibtbmGg4nTAhWs6YMKHfUxDKQQFggfMAI&usg=AFQjCNEV_yACnQ7LcZql7sQ9D44gKzc8NQ,https://www.facebook.com/indivisiblemdb/,Indivisible Miami-Dade and Broward - Home | Facebook,"Miami , FL indivisible",
73,"INDIVISIBLE MIAMI-DADE AND BROWARD While the Indivisible movement 
shares ... Let's support Miami native progressive Democratic candidate for Florida
 ...",http://www.google.com/url?q=https://www.facebook.com/groups/1875936029284938/&sa=U&ved=0ahUKEwibtbmGg4nTAhWs6YMKHfUxDKQQFggkMAM&usg=AFQjCNHIZWckOvZv7XtdZnP_WhAkMPiXkw,https://www.facebook.com/groups/1875936029284938/,Indivisible Miami-Dade and Broward Public Group | Facebook,"Miami , FL indivisible",
74,"INDIVISIBLE MIAMI-DADE AND BROWARD While the Indivisible movement 
shares the common ... Miami Shores Recreation Complex in Miami Shores, 
Florida.",http://www.google.com/url?q=https://www.facebook.com/groups/1875936029284938/events/&sa=U&ved=0ahUKEwibtbmGg4nTAhWs6YMKHfUxDKQQFggpMAQ&usg=AFQjCNG7TvCC6FFkRCZzdG01A9HZuUAFQA,https://www.facebook.com/groups/1875936029284938/events/,Indivisible Miami-Dade and Broward Public Group | Facebook,"Miami , FL indivisible",
75,"Indivisible South Florida is here to Plug You In, Turn You On and Keep You Lit on 
... Union-Busting Bill Would Cripple Miami Teachers While Leaving Police, ...",http://www.google.com/url?q=https://www.facebook.com/Indivisible954/&sa=U&ved=0ahUKEwibtbmGg4nTAhWs6YMKHfUxDKQQFgguMAU&usg=AFQjCNG-ty3HO7HV43QLWHR6Fgsg9723Pw,https://www.facebook.com/Indivisible954/,Indivisible South Florida - Home | Facebook,"Miami , FL indivisible",
80,"Jan 30, 2017 ... Welcome, Here's how to get started quickly. 1st - If you have not already done so, 
read the Indivisible Guide: https://www.indivisibleguide.com/ ...",http://www.google.com/url?q=http://indivisibleoakland.blogspot.com/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFggUMAA&usg=AFQjCNH4hOPGNi2QlSt2Ildw-Wt_a4B4iw,http://indivisibleoakland.blogspot.com/,Indivisible Oakland,"Oakland , CA indivisible",
82,"Feb 15, 2017 ... Our mission and methods are outlined in the “Indivisible Gu. ... Where: The Port 
Co-working Space,[masked]th St. Oakland, CA, 3rd floor, Large ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Oakland/events/237712203/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFggfMAI&usg=AFQjCNGbW2uI0x-glsxxMyNCAmNlBZcR5A,https://www.meetup.com/Resist-Oakland/events/237712203/,Indivisible Lake Merritt Weekly Meeting - #Resist: Oakland (Oakland ...,"Oakland , CA indivisible",
83,"Feb 22, 2017 ... Our mission and methods are outlined in the “Indivisible Gu. ... Where: The Port 
Co-working Space,[masked]th St. Oakland, CA, 3rd floor, Large ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Oakland/events/237688786/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFgglMAM&usg=AFQjCNESDUUUs7gSixixUMREW3DvPwHv3w,https://www.meetup.com/Resist-Oakland/events/237688786/,Indivisible Lake Merritt Biweekly Meeting - #Resist ... - Meetup,"Oakland , CA indivisible",
84,"Mar 8, 2017 ... Please join Indivisible Lake Merritt on Facebook to keep up with all of the latest 
group events and ... There will be an Oakland Women's rally and march 
beginning 5 pm in Oscar Grant/ Frank Ogawa plaza. ... Oakland, CA.",http://www.google.com/url?q=https://www.meetup.com/Resist-Oakland/events/237823057/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFggrMAQ&usg=AFQjCNH5Y6_k4zLwT0p5dGF59Ea8cYZQlw,https://www.meetup.com/Resist-Oakland/events/237823057/,Indivisible Lake Merritt Biweekly Meeting - #Resist ... - Meetup,"Oakland , CA indivisible",
85,#Resist: Oakland · Home · Members ... Our mission and methods are outlined ...,http://www.google.com/url?q=https://www.meetup.com/Resist-Oakland/events/237879065/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFggxMAU&usg=AFQjCNH2RhC1zfc3lF_1zVEp7P_GRUdpJQ,https://www.meetup.com/Resist-Oakland/events/237879065/,Indivisible Lake Merritt Biweekly Meeting - #Resist ... - Meetup,"Oakland , CA indivisible",
88,"Joseph Burg's photo. JAN11. Indivisible East Bay - Organizing Meeting ... 2221 
Broadway, Oakland, California 94612 ... email: east.bay.indivisible@gmail.com",http://www.google.com/url?q=https://www.facebook.com/events/774139496072675/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFghEMAg&usg=AFQjCNF73x1HiNE_my6yWdP6RbIWDbvh_A,https://www.facebook.com/events/774139496072675/,Indivisible East Bay - Organizing Meeting - Facebook,"Oakland , CA indivisible",
89,"... talking about this. Following the principles of the Indivisible Guide, starting a 
movement in California's 11th,... ... Oakland Local. News/Media ... Summary of 
Indivisible East Bay Meeting with Senator Feinstein's office, March 1, 2017. 
March 8.",http://www.google.com/url?q=https://www.facebook.com/indivisibleeb/&sa=U&ved=0ahUKEwjg1NWGg4nTAhVI_4MKHcZ-CK8QFghJMAk&usg=AFQjCNGIq7IPvrO7mVsuMzilIYY9JUDxyA,https://www.facebook.com/indivisibleeb/,Indivisible East Bay - Home | Facebook,"Oakland , CA indivisible",
94,"NC For Liberty #Indivisible Meeting. March 12 · 1:00 PM. Bottle Rev3. We have 
been meeting weekly since inauguration for strategizing, updating, and planning
 ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Raleigh/events/237958254/&sa=U&ved=0ahUKEwiVoaiHg4nTAhVH_4MKHZ_RBiIQFggpMAQ&usg=AFQjCNECr108V8jEuTiMWD9lofRMQWYiGQ,https://www.meetup.com/Resist-Raleigh/events/237958254/,NC For Liberty #Indivisible Meeting - #Resist: Raleigh ... - Meetup,"Raleigh , NC indivisible",
95,"Apr 9, 2017 ... We are a local, grassroots organization from Raleigh ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Raleigh/events/dxcptmywgbmb/&sa=U&ved=0ahUKEwiVoaiHg4nTAhVH_4MKHZ_RBiIQFgguMAU&usg=AFQjCNGU6uYFGBS98RKEvfTB6bWEIbIyEQ,https://www.meetup.com/Resist-Raleigh/events/dxcptmywgbmb/,NC For Liberty #Indivisible Meeting - #Resist: Raleigh ... - Meetup,"Raleigh , NC indivisible",
97,"Charlotte Indivisible - Resist the Trump Agenda. ... RALEIGH, N.C. (AP) — 
Despite Republican assurances that North Carolina's ""bathroom bill"" isn't hurting 
the ...",http://www.google.com/url?q=https://www.facebook.com/CharlotteIndivisible/&sa=U&ved=0ahUKEwiVoaiHg4nTAhVH_4MKHZ_RBiIQFgg8MAc&usg=AFQjCNFTcoXTB7SYHwfMrzzUauU958r6dQ,https://www.facebook.com/CharlotteIndivisible/,Indivisible Charlotte - Home | Facebook,"Raleigh , NC indivisible",
98,"Indivisible-NCDistrict48. ... Indivisible-NCDistrict48 shared a post. ... in support of 
the Declaration Of Solidarity By People Of Faith In Western North Carolina. ..... #
MoralMarch #MoralResistance Moral March on Raleigh Flyers Official Flyer Click
 ...",http://www.google.com/url?q=https://www.facebook.com/Indivisible.NC/&sa=U&ved=0ahUKEwiVoaiHg4nTAhVH_4MKHZ_RBiIQFghBMAg&usg=AFQjCNHrN6ddsjy01pYcNkYoDACBwFm_ig,https://www.facebook.com/Indivisible.NC/,Indivisible-NCDistrict48 - Home | Facebook,"Raleigh , NC indivisible",
99,"Indivisible at North Carolina State University, Raleigh, NC. By Indivisible: An 
Anthology of Contemporary South Asian American Poetry · Updated about 6 
years ...",http://www.google.com/url?q=https://www.facebook.com/media/set/%3Fset%3Da.465038273674.255583.288886983674%26type%3D3&sa=U&ved=0ahUKEwiVoaiHg4nTAhVH_4MKHZ_RBiIQFghGMAk&usg=AFQjCNEgmxb44UCfOCCP1SKhPmrX7DFaKg,https://www.facebook.com/media/set/?set=a.465038273674.255583.288886983674&type=3,"Indivisible at North Carolina State University, Raleigh, NC | Facebook","Raleigh , NC indivisible",
100,"Indivisible Tulsa. 778 likes · 125 talking about this. Indivisible Tulsa is a non-
partisan group of concerned citizens in Tulsa, Oklahoma working to...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleTulsa/&sa=U&ved=0ahUKEwiXzceHg4nTAhXh6oMKHfJIDqwQFggUMAA&usg=AFQjCNFpzzqKFykRbqh_Ai_wIJzPJudVnw,https://www.facebook.com/IndivisibleTulsa/,Indivisible Tulsa - Home | Facebook,"Tulsa , OK indivisible",
101,"Indivisible Tulsa. 769 likes · 88 talking about this. Indivisible Tulsa is a non-
partisan group of concerned citizens in Tulsa, Oklahoma working to fight...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleTulsa/%3Fref%3Dpage_internal%26hc_ref%3DPAGES_TIMELINE&sa=U&ved=0ahUKEwiXzceHg4nTAhXh6oMKHfJIDqwQFggZMAE&usg=AFQjCNGLQkdQz0qQimzRMZ95-ROYtPEcMQ,https://www.facebook.com/IndivisibleTulsa/?ref=page_internal&hc_ref=PAGES_TIMELINE,Indivisible Tulsa - Home | Facebook,"Tulsa , OK indivisible",
102,"Indivisible Tulsa's photo. FEB18. Indivisible Tulsa Meeting. Public. · Hosted by 
Indivisible Tulsa. InterestedGoing ... 2601 S Garnett Rd, Tulsa, Oklahoma 74129
 ...",http://www.google.com/url?q=https://www.facebook.com/events/645299235658442/&sa=U&ved=0ahUKEwiXzceHg4nTAhXh6oMKHfJIDqwQFggeMAI&usg=AFQjCNHgFskNKhhGDJXnqdez3bjzgh1hWg,https://www.facebook.com/events/645299235658442/,Indivisible Tulsa Meeting - Facebook,"Tulsa , OK indivisible",
111,Helpful Links • March For Science MN • March For Science DC Background ...,http://www.google.com/url?q=https://www.meetup.com/edinaindivisible/&sa=U&ved=0ahUKEwjTquiHg4nTAhXk54MKHYgiBVoQFggZMAE&usg=AFQjCNGsv_kS90q61PUj6pbWgxjTkHUVDg,https://www.meetup.com/edinaindivisible/,"Edina Indivisible (Minneapolis, MN) | Meetup","Minneapolis , MN indivisible",
112,"Organized resistance to the Trump agenda, Minnesota style. We... ... Indivisible 
North shared Minneapolis DFL's event. · March 28 at 11:08am ·. If you live in ...",http://www.google.com/url?q=https://www.facebook.com/indivisiblenorth/&sa=U&ved=0ahUKEwjTquiHg4nTAhXk54MKHYgiBVoQFgglMAI&usg=AFQjCNGs2l_r4jdPh15ztOpz1tOS02rp0g,https://www.facebook.com/indivisiblenorth/,Indivisible North - Home | Facebook,"Minneapolis , MN indivisible",
120,"If you do not see one that fits with you listed here, check out Indivisible, to see if 
there is ... Indivisible Front Range Resistance ... Colorado Springs, CO 80907.",http://www.google.com/url?q=https://indivisiblecolorado.net/indivco/&sa=U&ved=0ahUKEwix7JWIg4nTAhXLzIMKHZJcCjAQFggUMAA&usg=AFQjCNFULhBCRWNBab3s9O3_lUiKvi8G4A,https://indivisiblecolorado.net/indivco/,Indivisible Colorado Groups — Indivisible Colorado,"Colorado Springs , CO indivisible",
121,"Research, Discussion, and Taking Action! Best Practices to Make Congress 
Listen! Southern Colorado Indivisible: Guidance and Taking Significant Steps to 
Re.",http://www.google.com/url?q=https://www.meetup.com/Southern-Colorado-Indivisible/&sa=U&ved=0ahUKEwix7JWIg4nTAhXLzIMKHZJcCjAQFggZMAE&usg=AFQjCNGOSEaCU02OHZeHfxMs3CIIJPn-Dg,https://www.meetup.com/Southern-Colorado-Indivisible/,"Southern Colorado Indivisible (Colorado Springs, CO) | Meetup","Colorado Springs , CO indivisible",
122,"Jan 22, 2017 ... Doubletree Hotel Colorado Springs-World Arena ... Could you fill in some details 
about what ""indivisible group"" is. ... Colorado Springs, CO.",http://www.google.com/url?q=https://www.meetup.com/Colorado-Springs-Grassroots-Progessives/events/236974878/&sa=U&ved=0ahUKEwix7JWIg4nTAhXLzIMKHZJcCjAQFggeMAI&usg=AFQjCNFC5ycc5YV652ak1kR-DAuaR_3u8g,https://www.meetup.com/Colorado-Springs-Grassroots-Progessives/events/236974878/,Indivisible Group Planning- From Jan 15th - Colorado Springs ...,"Colorado Springs , CO indivisible",
124,"Indivisible Colorado. 50 likes · 3 ... People's March for Climate, Jobs and Justice 
on Colorado Springs. Sat 1:30 PM ... Indivisible Colorado shared Sean Korbitz's 
post. · February 4 · .... Sun 2:00 PM MST · Denver Capitol Building · Denver, CO.",http://www.google.com/url?q=https://www.facebook.com/Indivisible-Colorado-1657890197845136/&sa=U&ved=0ahUKEwix7JWIg4nTAhXLzIMKHZJcCjAQFggpMAQ&usg=AFQjCNFT0USHm8ZZELAfVQx6mznk9Pab9w,https://www.facebook.com/Indivisible-Colorado-1657890197845136/,Indivisible Colorado | Facebook,"Colorado Springs , CO indivisible",
132,"Cucalorus Film Festival - Nov 12, 2016 - 1:15 PM - Wilmington, NC. *director and 
editor Q&A after screening. ​. Hawaii International Film Festival - Honolulu, HI.",http://www.google.com/url?q=https://www.indivisiblefilm.com/&sa=U&ved=0ahUKEwito7mIg4nTAhWh7oMKHZKQDAMQFggdMAI&usg=AFQjCNFRpovGPYOtzyvcK34sGGR57fzljA,https://www.indivisiblefilm.com/,indivisible,"Honolulu, HI indivisible",
133,"The US is a republic, not a dictatorship. We demand that our congressional 
representatives ..... HONOLULU (AP) — A federal judge in Hawaii decided 
Wednesday to extend his order blocking President Donald Trump's travel ban. 
U.S. District ...",http://www.google.com/url?q=https://www.facebook.com/indivisiblehouston/&sa=U&ved=0ahUKEwito7mIg4nTAhWh7oMKHZKQDAMQFggiMAM&usg=AFQjCNE3EExCRR939iUH17-aXip86eLZ8Q,https://www.facebook.com/indivisiblehouston/,Indivisible Houston - Home | Facebook,"Honolulu, HI indivisible",
134,"North Kitsap Indivisible is a Huddle of the National Organization. ... Bob Ferguson
, are: Judge Derrick K. Watson of Hawaii; Imam Ismail Elshikh of the Muslim ...",http://www.google.com/url?q=https://www.facebook.com/NorthKitsapIndivisible/&sa=U&ved=0ahUKEwito7mIg4nTAhWh7oMKHZKQDAMQFggqMAU&usg=AFQjCNGnQeZV_JnCN6rFCyGsfgyfZsb88A,https://www.facebook.com/NorthKitsapIndivisible/,North Kitsap Indivisible - Home | Facebook,"Honolulu, HI indivisible",
135,"... about this. Aloha! You've found Hawaii's main page for the Women's March on 
Washington. ... Honolulu International Airport protest in support of refugees!",http://www.google.com/url?q=https://www.facebook.com/womensmarchonwashingtonhawaii/&sa=U&ved=0ahUKEwito7mIg4nTAhWh7oMKHZKQDAMQFggvMAY&usg=AFQjCNEz9VIdrxMDBFL4mNkwBpyym6tq_A,https://www.facebook.com/womensmarchonwashingtonhawaii/,Women's March - Hawaii State Page - Home | Facebook,"Honolulu, HI indivisible",
136,"Indivisible Guide. 164295 ... Indivisible Weekly Calls to Action: March 20, 2017 .... 
that he's prepared to kill the filibuster to get the high court nominee confirmed.",http://www.google.com/url?q=https://www.facebook.com/indivisibleguide/&sa=U&ved=0ahUKEwito7mIg4nTAhWh7oMKHZKQDAMQFgg0MAc&usg=AFQjCNFpP9JwS_tGktBlAc8Dm2ZKHrp5oA,https://www.facebook.com/indivisibleguide/,Indivisible Guide - Home | Facebook,"Honolulu, HI indivisible",
