,bioguide_id,birthday,chamber,contact_form,crp_id,district,facebook_id,fax,fec_ids,first_name,gender,govtrack_id,icpsr_id,in_office,last_name,leadership_role,lis_id,middle_name,name_suffix,nickname,oc_email,ocd_id,office,other_names,party,phone,senate_class,state,state_name,state_rank,term_end,term_start,thomas_id,title,twitter_id,votesmart_id,website,youtube_id
10,G000582,1976-08-05,house,None,N00037615,0,RepJennifferGonzalezColon,None,[u'H6PR00082'],Jenniffer,F,412723,,True,González-Colón,None,,None,None,None,Rep.Gonzalez-colon@opencongress.org,ocd-division/country:us/territory:pr,1529 Longworth House Office Building,,R,202-225-2615,,PR,Puerto Rico,,2019-01-03,2017-01-03,,Com,repjenniffer,,https://gonzalez-colon.house.gov,
11,S001199,1964-01-23,house,None,N00038781,16,,None,[u'H6PA16320'],Lloyd,M,412722,,True,Smucker,None,,None,None,None,Rep.Smucker@opencongress.org,ocd-division/country:us/state:pa/cd:16,516 Cannon House Office Building,,R,202-225-2411,,PA,Pennsylvania,,2019-01-03,2017-01-03,,Rep,RepSmucker,102454,https://smucker.house.gov,
12,F000466,1973-12-17,house,None,N00038779,8,repbrianfitzpatrick,None,[u'H6PA08277'],Brian,M,412721,,True,Fitzpatrick,None,,None,None,None,Rep.Brianfitzpatrick@opencongress.org,ocd-division/country:us/state:pa/cd:8,514 Cannon House Office Building,,R,202-225-4276,,PA,Pennsylvania,,2019-01-03,2017-01-03,,Rep,repbrianfitz,167708,https://brianfitzpatrick.house.gov,
13,T000478,1961-02-04,house,None,N00036351,22,RepClaudiaTenney,None,[u'H4NY22051'],Claudia,F,412720,,True,Tenney,None,,None,None,None,Rep.Tenney@opencongress.org,ocd-division/country:us/state:ny/cd:22,512 Cannon House Office Building,,R,202-225-3665,,NY,New York,,2019-01-03,2017-01-03,,Rep,RepTenney,127668,https://tenney.house.gov,
14,F000464,1952-08-25,house,None,N00037288,19,RepJohnFaso,None,[u'H6NY19169'],John,M,412719,,True,Faso,None,,None,None,None,Rep.Faso@opencongress.org,ocd-division/country:us/state:ny/cd:19,1616 Longworth House Office Building,,R,202-225-5614,,NY,New York,,2019-01-03,2017-01-03,,Rep,RepJohnFaso,4311,https://faso.house.gov,
15,E000297,1954-09-27,house,None,N00034549,13,RepEspaillat,202-225-0816,[u'H2NY13096'],Adriano,M,412718,,True,Espaillat,None,,None,None,None,Rep.Espaillat@opencongress.org,ocd-division/country:us/state:ny/cd:13,1630 Longworth House Office Building,,D,202-225-4365,,NY,New York,,2019-01-03,2017-01-03,,Rep,RepEspaillat,14379,https://espaillat.house.gov,
16,S001201,1962-08-31,house,None,N00038742,3,RepTomSuozzi,202-225-4669,[u'H6NY03247'],Thomas,M,412717,,True,Suozzi,None,,None,None,None,Rep.Suozzi@opencongress.org,ocd-division/country:us/state:ny/cd:3,226 Cannon House Office Building,,D,202-225-3335,,NY,New York,,2019-01-03,2017-01-03,,Rep,RepTomSuozzi,92111,https://suozzi.house.gov,
17,K000390,1980-04-25,house,None,N00033530,4,RepKihuen,None,[u'H2NV00050'],Ruben,M,412716,,True,Kihuen,None,,None,None,None,Rep.Kihuen@opencongress.org,ocd-division/country:us/state:nv/cd:4,313 Cannon House Office Building,,D,202-225-9894,,NV,Nevada,,2019-01-03,2017-01-03,,Rep,RepKihuen,66851,https://kihuen.house.gov,
18,R000608,1957-08-02,house,None,N00038734,3,RepJackyRosen,None,[u'H6NV03139'],Jacky,F,412715,,True,Rosen,None,,None,None,None,Rep.Rosen@opencongress.org,ocd-division/country:us/state:nv/cd:3,413 Cannon House Office Building,,D,202-225-3252,,NV,Nevada,,2019-01-03,2017-01-03,,Rep,repjackyrosen,169471,https://rosen.house.gov,
19,G000583,1975-03-08,house,None,N00036944,5,RepJoshG,None,[u'H6NJ05171'],Josh,M,412714,,True,Gottheimer,None,,None,None,None,Rep.Gottheimer@opencongress.org,ocd-division/country:us/state:nj/cd:5,213 Cannon House Office Building,,D,202-225-4465,,NJ,New Jersey,,2019-01-03,2017-01-03,,Rep,RepJoshG,169202,https://gottheimer.house.gov,
20,B001298,1963-08-16,house,None,N00037049,2,RepDonBacon,None,[u'H6NE02125'],Don,M,412713,,True,Bacon,None,,None,None,None,Rep.Bacon@opencongress.org,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,,R,202-225-4155,,NE,Nebraska,,2019-01-03,2017-01-03,,Rep,repdonbacon,166299,https://bacon.house.gov,
21,B001305,1971-10-21,house,None,N00039551,13,RepTedBudd,None,[u'H6NC13129'],Ted,M,412712,,True,Budd,None,,None,None,None,Rep.Budd@opencongress.org,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,,R,202-225-4531,,NC,North Carolina,,2019-01-03,2017-01-03,,Rep,RepTedBudd,171489,https://budd.house.gov,
22,L000587,1955-09-23,house,None,N00038400,2,RepJasonLewis,None,[u'H6MN02149'],Jason,M,412711,,True,Lewis,None,,None,None,None,Rep.Jasonlewis@opencongress.org,ocd-division/country:us/state:mn/cd:2,418 Cannon House Office Building,,R,202-225-2271,,MN,Minnesota,,2019-01-03,2017-01-03,,Rep,RepJasonLewis,171558,https://jasonlewis.house.gov,
23,M001201,1961-05-08,house,None,N00036274,10,reppaulmitchell,None,[u'H4MI04118'],Paul,M,412710,,True,Mitchell,None,,None,None,None,Rep.Mitchell@opencongress.org,ocd-division/country:us/state:mi/cd:10,211 Cannon House Office Building,,R,202-225-2106,,MI,Michigan,,2019-01-03,2017-01-03,,Rep,RepPaulMitchell,152464,https://mitchell.house.gov,
24,B001301,1947-02-02,house,None,N00039533,1,RepJackBergman,None,[u'H6MI01226'],Jack,M,412709,,True,Bergman,None,,None,None,None,Rep.Bergman@opencongress.org,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,,R,202-225-4735,,MI,Michigan,,2019-01-03,2017-01-03,,Rep,RepJackBergman,170172,https://bergman.house.gov,
25,R000606,1962-12-13,house,None,N00037036,8,repraskin,None,[u'H6MD08457'],Jamie,M,412708,,True,Raskin,None,,None,None,None,Rep.Raskin@opencongress.org,ocd-division/country:us/state:md/cd:8,431 Cannon House Office Building,,D,202-225-5341,,MD,Maryland,,2019-01-03,2017-01-03,,Rep,repraskin,65904,https://raskin.house.gov,
26,B001304,1961-11-21,house,None,N00036999,4,,None,[u'H6MD04209'],Anthony,M,412707,,True,Brown,None,,None,None,None,Rep.Anthonybrown@opencongress.org,ocd-division/country:us/state:md/cd:4,1505 Longworth House Office Building,,D,202-225-8699,,MD,Maryland,,2019-01-03,2017-01-03,,Rep,,19344,https://anthonybrown.house.gov,
27,J000299,1972-01-30,house,None,N00039106,4,RepMikeJohnson,None,[u'H6LA04138'],Mike,M,412706,,True,Johnson,None,,None,None,None,Rep.Mikejohnson@opencongress.org,ocd-division/country:us/state:la/cd:4,327 Cannon House Office Building,,R,202-225-2777,,LA,Louisiana,,2019-01-03,2017-01-03,,Rep,RepMikeJohnson,156097,https://mikejohnson.house.gov,
28,H001077,1961-08-24,house,None,N00039953,3,,None,[u'H6LA03148'],Clay,M,412705,,True,Higgins,None,,None,None,None,Rep.Clayhiggins@opencongress.org,ocd-division/country:us/state:la/cd:3,1711 Longworth House Office Building,,R,202-225-2031,,LA,Louisiana,,2019-01-03,2017-01-03,,Rep,,174484,https://clayhiggins.house.gov,
29,M001198,1960-08-09,house,None,N00037034,1,rogermarshallmd,None,[u'H6KS01179'],Roger,M,412704,,True,Marshall,None,,None,None,None,Rep.Marshall@opencongress.org,ocd-division/country:us/state:ks/cd:1,312 Cannon House Office Building,,R,202-225-2715,,KS,Kansas,,2019-01-03,2017-01-03,,Rep,RepMarshall,172080,https://marshall.house.gov,
30,H001074,1983-09-12,house,None,N00038429,9,reptrey,None,[u'H6IN09176'],Trey,M,412703,,True,Hollingsworth,None,,None,None,None,Rep.Hollingsworth@opencongress.org,ocd-division/country:us/state:in/cd:9,1641 Longworth House Office Building,,R,202-225-5315,,IN,Indiana,,2019-01-03,2017-01-03,,Rep,reptrey,167423,https://hollingsworth.house.gov,
31,B001299,1979-07-16,house,None,N00037185,3,RepJimBanks,None,[u'H6IN03229'],Jim,M,412702,,True,Banks,None,,None,None,None,Rep.Banks@opencongress.org,ocd-division/country:us/state:in/cd:3,509 Cannon House Office Building,,R,202-225-4436,,IN,Indiana,,2019-01-03,2017-01-03,,Rep,RepJimBanks,116801,https://banks.house.gov,
32,K000391,1973-07-19,house,None,N00033240,8,congressmanraja,None,[u'H6IL08147'],Raja,M,412701,,True,Krishnamoorthi,None,,None,None,None,Rep.Krishnamoorthi@opencongress.org,ocd-division/country:us/state:il/cd:8,515 Cannon House Office Building,,D,202-225-3711,,IL,Illinois,,2019-01-03,2017-01-03,,Rep,congressmanraja,117519,https://krishnamoorthi.house.gov,
33,F000465,1967-11-15,house,None,N00039090,3,RepDrewFerguson,None,[u'H6GA03113'],A.,M,412700,,True,Ferguson,None,,Drew,IV,None,Rep.Ferguson@opencongress.org,ocd-division/country:us/state:ga/cd:3,1032 Longworth House Office Building,,R,202-225-5901,,GA,Georgia,,2019-01-03,2017-01-03,,Rep,RepDrewFerguson,168132,https://ferguson.house.gov,
34,R000607,1953-12-04,house,None,N00040007,19,RepRooney,202-225-0011,[u'H6FL19087'],Francis,M,412699,,True,Rooney,None,,None,None,None,Rep.Francisrooney@opencongress.org,ocd-division/country:us/state:fl/cd:19,120 Cannon House Office Building,,R,202-225-2536,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepRooney,172678,https://francisrooney.house.gov,
35,M001199,1980-07-10,house,None,N00037269,18,repbrianmast,None,[u'H6FL18097'],Brian,M,412698,,True,Mast,None,,None,None,None,Rep.Mast@opencongress.org,ocd-division/country:us/state:fl/cd:18,2182 Rayburn House Office Building,,R,202-225-3026,,FL,Florida,,2019-01-03,2017-01-03,,Rep,repbrianmast,166245,https://mast.house.gov,
36,C001111,1956-07-24,house,None,N00002942,13,RepCharlieCrist,None,[u'H6FL13205'],Charlie,M,412697,,True,Crist,None,,None,None,None,Rep.Crist@opencongress.org,ocd-division/country:us/state:fl/cd:13,427 Cannon House Office Building,,D,202-225-5961,,FL,Florida,,2019-01-03,2017-01-03,,Rep,repcharliecrist,24311,https://crist.house.gov,
37,D000627,1957-03-12,house,None,N00033449,10,RepresentativeValDemings,None,[u'H2FL08063'],Val,F,412696,,True,Demings,None,,None,None,None,Rep.Demings@opencongress.org,ocd-division/country:us/state:fl/cd:10,238 Cannon House Office Building,,D,202-225-2176,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepValDemings,137637,https://demings.house.gov,
38,S001200,1978-02-25,house,None,N00037422,9,CongressmanDarrenSoto,None,[u'H6FL09179'],Darren,M,412695,,True,Soto,None,,None,None,None,Rep.Soto@opencongress.org,ocd-division/country:us/state:fl/cd:9,1429 Longworth House Office Building,,D,202-225-9889,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepDarrenSoto,67618,https://soto.house.gov,
39,M001202,1978-09-16,house,None,N00040133,7,RepStephMurphy,None,[u'H6FL07140'],Stephanie,F,412694,,True,Murphy,None,,None,None,None,Rep.Stephaniemurphy@opencongress.org,ocd-division/country:us/state:fl/cd:7,1237 Longworth House Office Building,,D,202-225-4035,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepStephMurphy,173426,https://stephaniemurphy.house.gov,
40,L000586,1948-09-21,house,None,N00030642,5,RepAlLawsonJr,None,[u'H0FL02086'],Al,M,412693,,True,Lawson,None,,None,None,None,Rep.Lawson@opencongress.org,ocd-division/country:us/state:fl/cd:5,1337 Longworth House Office Building,,D,202-225-0123,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepAlLawsonJr,24263,https://lawson.house.gov,
41,R000609,1952-09-02,house,None,N00039777,4,RepRutherfordFL,None,[u'H6FL04105'],John,M,412692,,True,Rutherford,None,,None,None,None,Rep.Rutherford@opencongress.org,ocd-division/country:us/state:fl/cd:4,230 Cannon House Office Building,,R,202-225-2501,,FL,Florida,,2019-01-03,2017-01-03,,Rep,RepRutherfordFL,172542,https://rutherford.house.gov,
42,D000628,1953-02-16,house,None,N00037442,2,drnealdunnfl2,None,[u'H6FL02208'],Neal,M,412691,,True,Dunn,None,,None,None,None,Rep.Dunn@opencongress.org,ocd-division/country:us/state:fl/cd:2,423 Cannon House Office Building,,R,202-225-5235,,FL,Florida,,2019-01-03,2017-01-03,,Rep,drnealdunnfl2,166297,https://dunn.house.gov,
43,G000578,1982-05-07,house,None,N00039503,1,CongressmanMattGaetz,None,[u'H6FL01119'],Matt,M,412690,,True,Gaetz,None,,None,None,None,Rep.Gaetz@opencongress.org,ocd-division/country:us/state:fl/cd:1,507 Cannon House Office Building,,R,202-225-4136,,FL,Florida,,2019-01-03,2017-01-03,,Rep,Rep_Matt_Gaetz,117101,https://gaetz.house.gov,
44,B001303,1962-02-10,house,None,N00038414,0,Rep.BluntRochester,None,[u'H6DE00206'],Lisa,F,412689,,True,Blunt Rochester,None,,None,None,None,Rep.Bluntrochester@opencongress.org,ocd-division/country:us/state:de,1123 Longworth House Office Building,,D,202-225-4165,,DE,Delaware,,2019-01-03,2017-01-03,,Rep,RepBRochester,173249,https://bluntrochester.house.gov,
45,C001110,1958-01-24,house,None,N00037260,46,,None,[u'H6CA46116'],J.,M,412688,,True,Correa,None,,Luis,None,None,Rep.Correa@opencongress.org,ocd-division/country:us/state:ca/cd:46,1039 Longworth House Office Building,,D,202-225-2965,,CA,California,,2019-01-03,2017-01-03,,Rep,reploucorrea,9732,https://correa.house.gov,
46,B001300,1976-09-15,house,None,N00037019,44,CongresswomanBarragan,None,[u'H6CA44103'],Nanette,F,412687,,True,Barragán,None,,None,None,None,Rep.Barragan@opencongress.org,ocd-division/country:us/state:ca/cd:44,1320 Longworth House Office Building,,D,202-225-8220,,CA,California,,2019-01-03,2017-01-03,,Rep,RepBarragan,166270,https://barragan.house.gov,
47,C001112,1964-11-18,house,None,N00037015,24,repsaludcarbajal,None,[u'H6CA24303'],Salud,M,412686,,True,Carbajal,None,,None,None,None,Rep.Carbajal@opencongress.org,ocd-division/country:us/state:ca/cd:24,212 Cannon House Office Building,,D,202-225-3601,,CA,California,,2019-01-03,2017-01-03,,Rep,RepCarbajal,81569,https://carbajal.house.gov,
48,P000613,1969-10-01,house,None,N00038601,20,RepJimmyPanetta,None,[u'H6CA20152'],Jimmy,M,412685,,True,Panetta,None,,None,None,None,Rep.Panetta@opencongress.org,ocd-division/country:us/state:ca/cd:20,228 Cannon House Office Building,,D,202-225-2861,,CA,California,,2019-01-03,2017-01-03,,Rep,RepJimmyPanetta,169078,https://panetta.house.gov,
49,K000389,1976-09-13,house,None,N00026427,17,RepRoKhanna,None,[u'H4CA12055'],Ro,M,412684,,True,Khanna,None,,None,None,None,Rep.Khanna@opencongress.org,ocd-division/country:us/state:ca/cd:17,513 Cannon House Office Building,,D,202-225-2631,,CA,California,,2019-01-03,2017-01-03,,Rep,RepRoKhanna,29473,https://khanna.house.gov,
50,B001302,1958-11-07,house,None,N00039293,5,RepAndyBiggs,None,[u'H6AZ05083'],Andy,M,412683,,True,Biggs,None,,None,None,None,Rep.Biggs@opencongress.org,ocd-division/country:us/state:az/cd:5,1626 Longworth House Office Building,,R,202-225-2635,,AZ,Arizona,,2019-01-03,2017-01-03,,Rep,RepAndyBiggsAZ,28088,https://biggs.house.gov,
51,O000171,1946-01-24,house,None,N00037515,1,repohalleran,None,[u'H6AZ01199'],Tom,M,412682,,True,O'Halleran,None,,None,None,None,Rep.Ohalleran@opencongress.org,ocd-division/country:us/state:az/cd:1,126 Cannon House Office Building,,D,202-225-3361,,AZ,Arizona,,2019-01-03,2017-01-03,,Rep,repohalleran,28499,https://ohalleran.house.gov,
52,S001170,1952-12-02,house,None,N00028091,1,repsheaporter,202-228-6362,[u'H6NH01230'],Carol,F,412219,20731,True,Shea-Porter,None,,None,None,None,Rep.Shea-porter@opencongress.org,ocd-division/country:us/state:nh/cd:1,1530 Longworth House Office Building,,D,202-225-5456,,NH,New Hampshire,,2019-01-03,2017-01-03,01861,Rep,repsheaporter,65891,https://shea-porter.house.gov,
53,S001190,1961-08-20,house,None,N00033101,10,CongressmanBradSchneider,202-225-0837,[u'H2IL10068'],Bradley,M,412534,21326,True,Schneider,None,,S.,None,None,Rep.Schneider@opencongress.org,ocd-division/country:us/state:il/cd:10,1432 Longworth House Office Building,,D,202-225-4835,,IL,Illinois,,2019-01-03,2017-01-03,02124,Rep,repschneider,134948,https://schneider.house.gov,
54,C001113,1964-03-29,senate,https://www.cortezmasto.senate.gov/content/contact-senator,N00037161,None,SenatorCortezMasto,None,[u'S6NV00200'],Catherine,F,412681,,True,Cortez Masto,None,S385,None,None,None,Sen.Cortezmasto@opencongress.org,ocd-division/country:us/state:nv,B40a Dirksen Senate Office Building,,D,202-224-3542,3,NV,Nevada,junior,2023-01-03,2017-01-03,,Sen,sencortezmasto,69579,https://www.cortezmasto.senate.gov,
55,H001076,1958-02-27,senate,https://www.hassan.senate.gov/content/contact-senator,N00038397,None,SenatorHassan,None,[u'S6NH00091'],Margaret,F,412680,,True,Hassan,None,S388,Wood,None,Maggie,Sen.Hassan@opencongress.org,ocd-division/country:us/state:nh,B85 Russell Senate Office Building,,D,202-224-3324,3,NH,New Hampshire,junior,2023-01-03,2017-01-03,,Sen,Senatorhassan,42552,https://www.hassan.senate.gov,
56,K000393,1951-11-21,senate,https://www.kennedy.senate.gov/content/contact-senator,N00026823,None,JohnKennedyLouisiana,None,[u'S4LA00065'],John,M,412679,,True,Kennedy,None,S389,Neely,None,None,Sen.Kennedy@opencongress.org,ocd-division/country:us/state:la,B11 Russell Senate Office Building,,R,202-224-4623,3,LA,Louisiana,junior,2023-01-03,2017-01-03,,Sen,SenJohnKennedy,35496,https://www.kennedy.senate.gov,
57,H001075,1964-10-20,senate,https://www.harris.senate.gov/content/contact-senator,N00036915,None,SenatorKamalaHarris,None,[u'S6CA00584'],Kamala,F,412678,,True,Harris,None,S387,None,None,None,Sen.Harris@opencongress.org,ocd-division/country:us/state:ca,112 Hart Senate Office Building,,D,202-224-3553,3,CA,California,junior,2023-01-03,2017-01-03,,Sen,SenKamalaHarris,120012,https://www.harris.senate.gov,
58,E000296,1954-05-16,house,None,N00038450,2,RepDwightEvans,None,[u'H6PA02171'],Dwight,M,412677,,True,Evans,None,,None,None,None,Rep.Evans@opencongress.org,ocd-division/country:us/state:pa/cd:2,1105 Longworth House Office Building,,D,202-225-4001,,PA,Pennsylvania,,2019-01-03,2017-01-03,,Rep,RepDwightEvans,9128,https://evans.house.gov,
59,C001108,1972-08-19,house,None,N00038260,1,congressmancomer,None,[u'H6KY01110'],James,M,412676,,True,Comer,None,,None,None,None,Rep.Comer@opencongress.org,ocd-division/country:us/state:ky/cd:1,1513 Longworth House Office Building,,R,202-225-3115,,KY,Kentucky,,2019-01-03,2017-01-03,,Rep,,35169,https://comer.house.gov,
60,H001050,1951-05-04,house,None,N00025881,1,,202-225-0688,"[u'H2HI02110', u'S4HI00144']",Colleen,F,412418,21124,True,Hanabusa,None,,W.,None,None,Rep.Hanabusa@opencongress.org,ocd-division/country:us/state:hi/cd:1,422 Cannon House Office Building,,D,202-225-2726,,HI,Hawaii,,2019-01-03,2017-01-03,02010,Rep,RepHanabusa,17745,https://hanabusa.house.gov,
61,D000626,1970-03-01,house,None,N00038767,8,CongressmanWarrenDavidson,None,[u'H6OH08315'],Warren,M,412675,,True,Davidson,None,,None,None,None,Rep.Davidson@opencongress.org,ocd-division/country:us/state:oh/cd:8,1004 Longworth House Office Building,,R,202-225-6205,,OH,Ohio,,2019-01-03,2017-01-03,02296,Rep,WarrenDavidson,166760,https://davidson.house.gov,
62,L000585,1968-07-05,house,None,N00037031,18,replahood,None,[u'H6IL18088'],Darin,M,412674,,True,LaHood,None,,None,None,None,Rep.Lahood@opencongress.org,ocd-division/country:us/state:il/cd:18,1424 Longworth House Office Building,,R,202-225-6201,,IL,Illinois,,2019-01-03,2017-01-03,02295,Rep,RepLaHood,128760,https://lahood.house.gov,None
63,K000388,1966-03-01,house,None,N00037003,1,reptrentkelly,None,[u'H6MS01131'],Trent,M,412673,,True,Kelly,None,,None,None,None,Rep.Trentkelly@opencongress.org,ocd-division/country:us/state:ms/cd:1,1721 Longworth House Office Building,,R,202-225-4306,,MS,Mississippi,,2019-01-03,2017-01-03,02294,Rep,reptrentkelly,156389,https://trentkelly.house.gov,None
64,D000625,1956-11-06,house,None,N00036928,11,RepDanDonovan,None,[u'H6NY11174'],Daniel,M,412672,,True,Donovan,None,,M.,Jr.,None,Rep.Donovan@opencongress.org,ocd-division/country:us/state:ny/cd:11,1541 Longworth House Office Building,,R,202-225-3371,,NY,New York,,2019-01-03,2017-01-03,02293,Rep,RepDanDonovan,127760,https://donovan.house.gov,None
65,S001197,1972-02-22,senate,http://www.sasse.senate.gov/public/index.cfm/email-ben,N00035544,None,SenatorSasse,None,[u'S4NE00090'],Benjamin,M,412671,,True,Sasse,None,S382,Eric,None,None,Sen.Sasse@opencongress.org,ocd-division/country:us/state:ne,136 Russell Senate Office Building,,R,202-224-4224,2,NE,Nebraska,junior,2021-01-03,2015-01-06,02289,Sen,SenSasse,150182,http://www.sasse.senate.gov/public,None
66,W000819,1969-05-20,house,None,N00035311,6,RepMarkWalker,202-225-8611,[u'H4NC06052'],Mark,M,412670,,True,Walker,None,,None,None,None,Rep.Walker@opencongress.org,ocd-division/country:us/state:nc/cd:6,1305 Longworth House Office Building,,R,202-225-3065,,NC,North Carolina,,2019-01-03,2017-01-03,02255,Rep,RepMarkWalker,146255,https://walker.house.gov,None
67,R000605,1954-10-24,senate,https://www.rounds.senate.gov/contact/email-mike,N00035187,None,SenatorMikeRounds,None,[u'S4SD00049'],Mike,M,412669,,True,Rounds,None,S381,None,None,None,Sen.Rounds@opencongress.org,ocd-division/country:us/state:sd,502 Hart Senate Office Building,,R,202-224-5842,2,SD,South Dakota,junior,2021-01-03,2015-01-06,02288,Sen,SenatorRounds,7455,http://www.rounds.senate.gov,None
68,T000476,1960-08-30,senate,https://www.tillis.senate.gov/public/index.cfm/email-me,N00035492,None,SenatorThomTillis,None,[u'S4NC00162'],Thom,M,412668,,True,Tillis,None,S384,None,None,None,Sen.Tillis@opencongress.org,ocd-division/country:us/state:nc,185 Dirksen Senate Office Building,,R,202-224-6342,2,NC,North Carolina,junior,2021-01-03,2015-01-06,02291,Sen,senthomtillis,57717,https://www.tillis.senate.gov/public/index.cfm/home,None
69,E000295,1970-07-01,senate,https://www.ernst.senate.gov/public/index.cfm/contact,N00035483,None,senjoniernst,None,[u'S4IA00129'],Joni,F,412667,,True,Ernst,None,S376,None,None,None,Sen.Ernst@opencongress.org,ocd-division/country:us/state:ia,111 Russell Senate Office Building,,R,202-224-3254,2,IA,Iowa,junior,2021-01-03,2015-01-06,02283,Sen,SenJoniErnst,128583,http://www.ernst.senate.gov/public,None
70,P000612,1949-12-10,senate,https://www.perdue.senate.gov/connect/email,N00035516,None,SenatorDavidPerdue,None,[u'S4GA11285'],David,M,412666,,True,Perdue,None,S379,None,None,None,Sen.Perdue@opencongress.org,ocd-division/country:us/state:ga,383 Russell Senate Office Building,,R,202-224-3521,2,GA,Georgia,junior,2021-01-03,2015-01-06,02286,Sen,sendavidperdue,151330,http://www.perdue.senate.gov,None
71,S001198,1964-11-13,senate,https://www.sullivan.senate.gov/contact/email,N00035774,None,SenDanSullivan,None,[u'S4AK00214'],Dan,M,412665,,True,Sullivan,None,S383,None,None,None,Sen.Sullivan@opencongress.org,ocd-division/country:us/state:ak,702 Hart Senate Office Building,,R,202-224-3004,2,AK,Alaska,junior,2021-01-03,2015-01-06,02290,Sen,SenDanSullivan,114964,http://www.sullivan.senate.gov,None
