|,|__City,|__Date,|__District,|__Location,|__Member,|__Notes,|__Party,|__RSVP,|__State,|__StateAb,|__Time,|__Zip,|__address,|__dateChanged,|__dateObj,|__dateString,|__dateValid,|__eventId,|__eventName,|__lastUpdated,|__lastUpdatedHuman,|__lat,|__link,|__linkName,|__lng,|__meetingType,|__rsvpName,|__noLoc,|__repeatingEvent,|__streetAddress,|__timeEnd,|__updatedBy,|__timeEnd24,|__timeStart24,|__timeZone,|__yearMonthDay,|__zoneString
100043,Marfa,"Thu, Apr 6, 2017",TX-23,Marfa Library,Will Hurd,"<p>All field office hours have recently been removed from the website. Unclear if they are canceled or just hidden. I am not sure of the time zone here, the district includes both central and mountain time.</p>",Republican,,Texas,TX,2:30 PM,79843,"115 E Oak St, Marfa, TX 79843",,1.49E+12,Thu Apr 06 2017,TRUE,100043,Field office hours,"2017-02-21, 09:00:1",,30.3112801,,,-104.0211943,Office Hours,,,,115 E Oak St,4:30 PM,,16:30:00,14:30:00,CDT,4/6/2017,America/Chicago
100044,Pearsall,"Thu, Apr 6, 2017",TX-23,Pearsall Public Library,Will Hurd,"<p>All field office hours have recently been removed from the website. Unclear if they are canceled or just hidden. I am not sure of the time zone here, the district includes both central and mountain time.</p>",Republican,,Texas,TX,3:00 PM,78061,"200 E Trinity St, Pearsall, TX 78061",,1.49E+12,Thu Apr 06 2017,TRUE,100044,Field office hours,"2017-02-21, 09:00:1",,28.8951348,,,-99.0953664,Office Hours,,,,200 E Trinity Street,5:00 PM,,17:00:00,15:00:00,CDT,4/6/2017,America/Chicago
100045,Eldorado,"Fri, Apr 7, 2017",TX-23,Schleicher County Public Library,Will Hurd,"<p>All field office hours have recently been removed from the website. Unclear if they are canceled or just hidden. I am not sure of the time zone here, the district includes both central and mountain time.</p>",Republican,,Texas,TX,11:00 AM,76936,"201 SW Main St, Eldorado, TX 76936",,1.49E+12,Fri Apr 07 2017,TRUE,100045,Field office hours,"2017-02-21, 09:00:1",,30.8583187,,,-100.6017912,Office Hours,,,,201 S. Main Street,1:00 PM,,13:00:00,11:00:00,CDT,4/7/2017,America/Chicago
100046,Washington,Every Thursday,Senate,Senator Cornyn's D.C. Office,John Cornyn,,Republican,,Texas,DC,9:30 AM,,"Hart Senate Office Building, Washington, DC 20002",,,,,100046,,Wed Mar 29 2017 00:16:07 GMT-0700 (PDT),,38.8928388,,,-77.0043561,Coffee,,,Every Thursday,517 Hart Senate Office Building,NA,meganrm@gmail.com,,,,,
100047,Washington,Every Tuesday,Senate,TBD,Ted Cruz,"<p>Sen. Cruz hosts coffee every Tuesday morning while Senate is in session for Texans visiting D.C. To RSVP email scheduler@cruz.senate.gov with ""Texas Tuesday RSVP"" in subject line. Include full name, phone number, email address, date you will be in D.C. and number of people in group.</p>",Republican,,Texas,DC,9:30 AM,,Texas,,,,,100047,,Wed Mar 29 2017 00:15:57 GMT-0700 (PDT),,31.9685988,,,-99.9018131,Coffee,,TRUE,Every Tuesday,,NA,meganrm@gmail.com,,,,,
100048,,,TX-12,Phone,Kay Granger,"<p><a href=""http://kaygranger.house.gov/contact-kay/telephone-town-hall-sign"" target=""_blank"">Link</a>  This is a link to a sign-up sheet. She does not provide times and dates, just says she will give you a call during the next event.</p>",Republican,,Texas,,,,Texas,,,,,100048,,Mon Mar 06 2017 00:34:25 GMT-0800 (PST),,31.9685988,http://kaygranger.house.gov/contact-kay/telephone-town-hall-sign,Sign-up Sheet,-99.9018131,Tele-town Hall,,,,,NA,meganrm@gmail.com,,,,,
100049,,,TX-14,Phone,Randy Weber,"<p><a href=""https://docs.google.com/forms/d/e/1FAIpQLSdUEg_dMc3PBwogi0RZSAORVhvb98keOevkcqIrR4eplcRuGA/viewform"" target=""_blank"">Link</a></p>",Republican,,Texas,,,,Texas,,,,,100049,,Mon Mar 06 2017 00:34:44 GMT-0800 (PST),,31.9685988,https://docs.google.com/forms/d/e/1FAIpQLSdUEg_dMc3PBwogi0RZSAORVhvb98keOevkcqIrR4eplcRuGA/viewform,Register here,-99.9018131,Tele-town Hall,,,,,NA,meganrm@gmail.com,,,,,
100092,Bridgewater,"Tue, Apr 4, 2017",VA-06,Municipal Building,Bob Goodlatte,"<p>Held 1st Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">More Information</a></p>",Republican,,Virginia,VA,11:30 AM,22812,"201 Green St, Bridgewater, VA 22812",,1.49E+12,Tue Apr 04 2017,TRUE,100092,,"2017-03-17, 16:08:00",,38.385476,,,-78.9747006,Office Hours,,,,201 Green St.,NA,,13:30:00,11:30:00,EDT,4/4/2017,America/New_York
100093,Amherst,"Tue, Apr 4, 2017",VA-06,"Amherst Co. Administration Building, Board of Supervisor's Room",Bob Goodlatte,"<p>Held 1st Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">More Information</a></p>",Republican,,Virginia,VA,9:00 AM,24521,"153 Washington St, Amherst, VA 24521",,1.49E+12,Tue Apr 04 2017,TRUE,100093,,"2017-03-17, 16:08:00",,37.581837,,,-79.0491892,Office Hours,,,,153 Washington St.,NA,,11:00:00,9:00:00,EDT,4/4/2017,America/New_York
100094,Luray,"Mon, Apr 3, 2017",VA-06,Luray Town Hall,Bob Goodlatte,"<p>1st&3rd Monday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,9:00 AM,22835,"45 E Main St, Luray, VA 22835",,1.49E+12,Mon Apr 03 2017,TRUE,100094,,"2017-02-21, 09:00:1",,38.6656566,,,-78.458302,Office Hours,,,,45 E. Main St.,NA,,11:00:00,9:00:00,EDT,4/3/2017,America/New_York
100095,Front Royal,"Wed, Apr 5, 2017",VA-06,Samuels Public Library,Bob Goodlatte,"<p>Held every Weds. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,10:00 AM,22630,"330 E Criser Rd, Front Royal, VA 22630",,1.49E+12,Wed Apr 05 2017,TRUE,100095,,"2017-02-21, 09:00:1",,38.9064678,,,-78.1882217,Office Hours,,,,330 E. Criser Rd.,NA,,12:00:00,10:00:00,EDT,4/5/2017,America/New_York
100096,Elkton,"Thu, Apr 6, 2017",VA-06,Elkton Area Community Center,Bob Goodlatte,"<p>Held 1st Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:30 AM,22827,"20593 Blue and Gold Dr, Elkton, VA 22827",,1.49E+12,Thu Apr 06 2017,TRUE,100096,,"2017-02-21, 09:00:1",,38.4065494,,,-78.6170915,Office Hours,,,,20593 Blue and Gold Dr.,NA,,13:30:00,11:30:00,EDT,4/6/2017,America/New_York
100097,Fincastle,"Tue, Apr 11, 2017",VA-06,"Botetourt Co. Courthouse, Second Floor Conference Room",Bob Goodlatte,"<p>Held 2nd Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">More Information</a></p>",Republican,,Virginia,VA,9:00 AM,24090,"1 E Main St, Fincastle, VA 24090",,1.49E+12,Tue Apr 11 2017,TRUE,100097,,"2017-03-17, 16:09:00",,37.498796,,,-79.877583,Office Hours,,,,1 Main St.,NA,,11:00:00,9:00:00,EDT,4/11/2017,America/New_York
100098,Madison Heights,"Tue, Apr 4, 2017",VA-06,Goodwill,Bob Goodlatte,"<p>Held 1st Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">More Information</a></p>",Republican,,Virginia,VA,11:00 AM,22727,"River James Shopping Center, 174 River James Dr, Madison Heights, VA 24572",,1.49E+12,Tue Apr 04 2017,TRUE,100098,,"2017-03-17, 16:09:00",,37.4353746,,,-79.1264524,Office Hours,,,,174 River James Shopping Center,NA,,13:00:00,11:00:00,EDT,4/4/2017,America/New_York
100099,Buchanan,"Tue, Apr 11, 2017",VA-06,Town Hall,Bob Goodlatte,"<p>Held 2nd Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,10:30 AM,24066,"19753 Main St, Buchanan, VA 24066",,1.49E+12,Tue Apr 11 2017,TRUE,100099,,"2017-02-21, 09:00:1",,37.528019,,,-79.679953,Office Hours,,,,19753 Main St.,NA,,12:30:00,10:30:00,EDT,4/11/2017,America/New_York
100100,Front Royal,"Wed, Apr 12, 2017",VA-06,Samuels Public Library,Bob Goodlatte,"<p>Held every Weds. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,10:00 AM,22630,"330 E Criser Rd, Front Royal, VA 22630",,1.49E+12,Wed Apr 12 2017,TRUE,100100,,"2017-02-21, 09:00:1",,38.9064678,,,-78.1882217,Office Hours,,,,330 E. Criser Rd.,NA,,12:00:00,10:00:00,EDT,4/12/2017,America/New_York
100101,Broadway,"Thu, Apr 13, 2017",VA-06,"Town Hall, Council Chambers",Bob Goodlatte,"<p>Held 2nd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,9:00 AM,22815,"116 Broadway Ave, Broadway, VA 22815",,1.49E+12,Thu Apr 13 2017,TRUE,100101,,"2017-02-21, 09:00:1",,38.6128824,,,-78.7987447,Office Hours,,,,116 Broadway Ave,NA,,11:00:00,9:00:00,EDT,4/13/2017,America/New_York
100102,Monterey,"Thu, Apr 13, 2017",VA-06,Highland County Library,Bob Goodlatte,"<p>Held 2nd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,2:30 PM,24465,"Water St, Monterey, VA 24465",,1.49E+12,Thu Apr 13 2017,TRUE,100102,,"2017-02-21, 09:00:1",,38.411551,,,-79.5822692,Office Hours,,,,10 Water St.,NA,,16:30:00,14:30:00,EDT,4/13/2017,America/New_York
100103,Mount Jackson,"Thu, Apr 13, 2017",VA-06,Town Council Chambers,Bob Goodlatte,"<p>Held 2nd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:30 AM,22842,"5901 Main St, Mt Jackson, VA 22842",,1.49E+12,Thu Apr 13 2017,TRUE,100103,,"2017-02-21, 09:00:1",,38.7477401,,,-78.6421874,Office Hours,,,,5901 Main St.,NA,,13:30:00,11:30:00,EDT,4/13/2017,America/New_York
100104,Warm Springs,"Thu, Apr 13, 2017",VA-06,"Bath Co. Courthouse, Second Floor",Bob Goodlatte,"<p>Held 2nd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:30 AM,24484,"65 Courthouse Hill Rd, Warm Springs, VA 24484",,1.49E+12,Thu Apr 13 2017,TRUE,100104,,"2017-02-21, 09:00:1",,38.0458477,,,-79.7895833,Office Hours,,,,65 Courthouse Hill Rd.,NA,,13:30:00,11:30:00,EDT,4/13/2017,America/New_York
100105,Grottoes,"Tue, Apr 18, 2017",VA-06,Town Hall,Bob Goodlatte,"<p>Held 3rd Tuesday of every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">More Information</a></p>",Republican,,Virginia,VA,9:30 AM,24441,"601 Dogwood Ave, Grottoes, VA 24441",,1.49E+12,Tue Apr 18 2017,TRUE,100105,,"2017-03-17, 16:10:00",,38.2661339,,,-78.8273514,Office Hours,,,,601 Dogwood Ave,NA,,11:30:00,9:30:00,EDT,4/18/2017,America/New_York
100106,Luray,"Mon, Apr 17, 2017",VA-06,Luray Town Hall,Bob Goodlatte,"<p>1st&3rd Monday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,9:00 AM,22835,"45 E Main St, Luray, VA 22835",,1.49E+12,Mon Apr 17 2017,TRUE,100106,,"2017-02-21, 09:00:1",,38.6656566,,,-78.458302,Office Hours,,,,45 E. Main St.,NA,,11:00:00,9:00:00,EDT,4/17/2017,America/New_York
100107,Forest,"Tue, Apr 18, 2017",VA-06,Forest Public Library,Bob Goodlatte,"<p>Held 3rd Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,10:00 AM,24551,"15583 Forest Rd, Forest, VA 24551",,1.49E+12,Tue Apr 18 2017,TRUE,100107,,"2017-02-21, 09:00:1",,37.3649641,,,-79.2850156,Office Hours,,,,15583 Forest Rd.,NA,,12:00:00,10:00:00,EDT,4/18/2017,America/New_York
100108,Waynesboro,"Tue, Apr 18, 2017",VA-06,"Public Library, First Floor Conference Room",Bob Goodlatte,"<p>Held every 3rd Tuesday. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:30 AM,22980,"600 S Wayne Ave, Waynesboro, VA 22980",,1.49E+12,Tue Apr 18 2017,TRUE,100108,,"2017-02-21, 09:00:1",,38.0617283,,,-78.8933156,Office Hours,,,,600 South Wayne Ave,NA,,13:30:00,11:30:00,EDT,4/18/2017,America/New_York
100109,Front Royal,"Wed, Apr 19, 2017",VA-06,Samuels Public Library,Bob Goodlatte,"<p>Held every Weds. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,10:00 AM,22630,"330 E Criser Rd, Front Royal, VA 22630",,1.49E+12,Wed Apr 19 2017,TRUE,100109,,"2017-02-21, 09:00:1",,38.9064678,,,-78.1882217,Office Hours,,,,330 E. Criser Rd.,NA,,12:00:00,10:00:00,EDT,4/19/2017,America/New_York
100110,Buena Vista,"Thu, Apr 20, 2017",VA-06,"City Hall, Circuit Courtroom",Bob Goodlatte,"<p>Held 3rd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:00 AM,24416,"2039 Sycamore Ave, Buena Vista, VA 24416",,1.49E+12,Thu Apr 20 2017,TRUE,100110,,"2017-02-21, 09:00:1",,37.7342468,,,-79.3559998,Office Hours,,,,2039 Sycamore Ave,NA,,13:00:00,11:00:00,EDT,4/20/2017,America/New_York
100111,Lexington,"Thu, Apr 20, 2017",VA-06,"Rockbridge Co. Administration Building, Second Floor",Bob Goodlatte,"<p>Held 3rd Thursday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,9:00 AM,24450,"150 S Main St, Lexington, VA 24450",,1.49E+12,Thu Apr 20 2017,TRUE,100111,,"2017-02-21, 09:00:1",,37.7828239,,,-79.443781,Office Hours,,,,150 South Main St.,NA,,11:00:00,9:00:00,EDT,4/20/2017,America/New_York
100112,Woodstock,"Thu, Apr 20, 2017",VA-06,"Town Hall, Town Council Chambers",Bob Goodlatte,"<p>Held every 3rd Thursday. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,9:30 AM,22664,"135 N Main St, Woodstock, VA 22664",,1.49E+12,Thu Apr 20 2017,TRUE,100112,,"2017-02-21, 09:00:1",,38.8831083,,,-78.5052552,Office Hours,,,,135 North Main St.,NA,,11:30:00,9:30:00,EDT,4/20/2017,America/New_York
100113,Vinton,"Tue, Apr 25, 2017",VA-06,"Town Hall, Town Conference Room",Bob Goodlatte,"<p>Held 4th Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,8:30 AM,24179,"311 S Pollard St, Vinton, VA 24179",,1.49E+12,Tue Apr 25 2017,TRUE,100113,,"2017-02-21, 09:00:1",,37.2786543,,,-79.8986981,Office Hours,,,,311 South Pollard St.,NA,,10:30:00,8:30:00,EDT,4/25/2017,America/New_York
100114,Bridgewater,"Tue, May 2, 2017",VA-06,Municipal Building,Bob Goodlatte,"<p>Held 1st Tuesday every month. Rep. Goodlatte not in attendance; staff attends. More info here: <a href=""http://goodlatte.house.gov/constituent-services/open-door-meetings.htm"" target=""_blank"">Link</a></p>",Republican,,Virginia,VA,11:30 AM,22812,"201 Green St, Bridgewater, VA 22812",,1.49E+12,Tue May 02 2017,TRUE,100114,,"2017-02-21, 09:00:1",,38.385476,,,-78.9747006,Office Hours,,,,201 Green St.,NA,,13:30:00,11:30:00,EDT,5/2/2017,America/New_York
100128,Washington,"Thu, Apr 6, 2017",Senate,Russell Senate Office Building,Patty Murray,<p>Arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"2536 Massachusetts Ave NW, Washington, DC 20008",,1.49E+12,Thu Apr 06 2017,TRUE,100128,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.9160125,,,-77.0565813,DC Event,,,,Room 154,NA,,10:30:00,8:30:00,EST,4/6/2017,America/New_York
100129,Washington,"Thu, Apr 27, 2017",Senate,Russell Senate Office Building,Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"1201 F St NW, Washington, DC 20004",,1.49E+12,Thu Apr 27 2017,TRUE,100129,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.8975066,,,-77.0287916,DC Event,,,,Room 541,NA,,10:30:00,8:30:00,EST,4/27/2017,America/New_York
100130,Washington,"Thu, May 4, 2017",Senate,Russell Senate Office Building,Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"1201 F St NW, Washington, DC 20004",,1.49E+12,Thu May 04 2017,TRUE,100130,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.8975066,,,-77.0287916,DC Event,,,,Room 541,NA,,10:30:00,8:30:00,EST,5/4/2017,America/New_York
100131,Washington,"Thu, May 11, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>Arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.49E+12,Thu May 11 2017,TRUE,100131,Weekly coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,5/11/2017,America/New_York
100133,Washington,"Thu, May 18, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,2002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu May 18 2017,TRUE,100133,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,5/18/2017,America/New_York
100134,Washington,"Thu, May 25, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu May 25 2017,TRUE,100134,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,5/25/2017,America/New_York
100135,Washington,"Thu, Jun 8, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jun 08 2017,TRUE,100135,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,6/8/2017,America/New_York
100136,Washington,"Thu, Jun 15, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-142</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jun 15 2017,TRUE,100136,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,6/15/2017,America/New_York
100137,Washington,"Thu, Jun 22, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-142</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jun 22 2017,TRUE,100137,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,6/22/2017,America/New_York
100138,Washington,"Thu, Jun 29, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jun 29 2017,TRUE,100138,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,6/29/2017,America/New_York
100139,Washington,"Thu, Jul 13, 2017",Senate,"Russell Senate Office Building, Room 541",Patty Murray,<p>arrive by 8:15; RSVP to 202-224-1425</p>,Democrat,,Washington,DC,8:30 AM,20002,"224 First St NE, Washington, DC 20003",,1.50E+12,Thu Jul 13 2017,TRUE,100139,Weekly Coffee with Senator Murray,2/23/2017 13:15:00,,38.892852,,,-77.006913,DC Event,,,,224 1st St NE,NA,,10:30:00,8:30:00,EST,7/13/2017,America/New_York
