event_legislator,event_related_party,event_related_state,event_congress_district,event_meeting_type,event_date,event_time,event_description,event_location,event_url
Pete Aguilar,Democrat,California,CA-31,Office Hours,"Fri, Apr 7, 2017","2:00 PM, PST",,"James L. Brulte Senior Center 11200 Base Line Rd, Rancho Cucamonga, CA 91701",https://townhallproject.com
Mike Thompson,Democratic,California,CA-5,Other,"Sun, Apr 23, 2017","5:00 PM, PST",,"Dan Foley Cultural Center 1499 N Camino Alto, Vallejo, CA 94589",https://townhallproject.com
Mike Thompson,Democratic,California,CA-5,Other,"Sun, May 7, 2017","4:30 PM, PST",,"Wild Oak Saddle Club 550 White Oak Dr, Santa Rosa, CA 95409",https://townhallproject.com
Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Thursday of the month.,"2:00 PM, PST",,"Fruitvale 1470 Fruitvale Ave, Oakland, CA 94601",https://townhallproject.com
Barbara Lee,Democratic,California,CA-13,Office Hours,Every first and third Wednesday of the month.,"2:00 PM, PST",,"Albany Community Center 1249 Marin Ave, Albany, CA 94706",https://townhallproject.com
Barbara Lee,Democratic,California,CA-13,Office Hours,Every second and fourth Thursday of the month.,"3:00 PM, PST",,"Alameda - . 2nd Floor Staff Room 1550 Oak St, Alameda, CA 94501",https://townhallproject.com
Susan Davis,Democratic,California,CA-53,Other,"Wednesday, February 22nd","6:30 PM, PST",,"Corky McMillin Companies Event Center 2875 Dewey Rd, San Diego, CA 92106",https://townhallproject.com
Scott Peters,Democratic,California,CA-52,Other,"Wednesday, February 22nd","6:30 PM, PST",,"Corky McMillin Companies Event Center 2875 Dewey Rd, San Diego, CA 92106",https://townhallproject.com
Jared Huffman,Democratic,California,CA-02,Tele-Town Hall,,",",,Mobile California,https://townhallproject.com
Dianne Feinstein,Democrat,California,Senate,Other,"Fri, Feb 24, 2017","12:00 PM, PST",,"Bechtel Conference Center at PPIC 500 Washington St Suite 300, San Francisco, CA 94111",https://townhallproject.com
Nanette Barragan,Democrat,California,CA-44,Town Hall,"Wed, Feb 22, 2017","5:30 PM, PST",,"Watts Civic Center 1513 E 103rd St, Los Angeles, CA 90002",https://townhallproject.com
Jackie Speier,Democratic,California,CA-14,Town Hall,"Sat, Feb 25, 2017","10:00 AM, PST",,"Cabrillo Unified School District Event Center 530 Kelly Ave, Half Moon Bay, CA 94019",https://townhallproject.com
Ed Perlmutter,Democrat,Colorado,CO-07,Teletown Hall,"Mon, Mar 13, 2017","7:00 PM, MST",,Colorado,https://townhallproject.com
Ken Buck,Republican,Colorado,CO-04,Teletown Hall,"Thu, Feb 23, 2017","7:00 PM, MST",,Colorado,https://townhallproject.com
Ed Perlmutter,Democrat,Colorado,CO-07,Mobile Office Hours,"Sat, Feb 25, 2017","10:00 AM, MST",,"Anythink Huron Street Library 9417 Huron St, Thornton, CO 80260",https://townhallproject.com
Ed Perlmutter,Democrat,Colorado,CO-07,Other,"Fri, Mar 3, 2017","10:00 AM, MST",,"Margaret Carpenter Recreation Center 11151 Colorado Blvd, Thornton, CO 80233",https://townhallproject.com
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","2:00 PM, MST",,"TBA Northglenn, CO 80233",https://townhallproject.com
Jared Polis,Democrat,Colorado,CO-02,Town Hall,"Sun, Mar 12, 2017","5:00 PM, MST",,"TBA Northglenn, CO 80233",https://townhallproject.com
Jim Himes,Democrat,Connecticut,CT-04,Town Hall,"Wed, Feb 22, 2017","6:30 PM, EST",,"Bridgeport City Hall 45 Lyon Terrace, Bridgeport, CT 06604",https://townhallproject.com
Jim Himes,Democrat,Connecticut,CT-04,Town Hall,"Sat, Mar 4, 2017","2:30 PM, EST",,"UConn Stamford GenRe Auditorium 1 University Pl, Stamford, CT 06901",https://townhallproject.com
Chris Murphy,Democrat,Connecticut,Senate,Town Hall,"Tue, Feb 21, 2017","7:30 PM, EST",,"West Hartford Town Hall Auditorium 50 S Main St, West Hartford, CT 06107",https://townhallproject.com
Chris Murphy,Democrat,Connecticut,Senate,Town Hall,"Tue, Feb 21, 2017","7:30 PM, EST",,"West Hartford Town Hall Auditorium 50 S Main St, West Hartford, CT 06107",https://townhallproject.com
Lisa Blunt Rochester,Democratic,Delaware,DE-AL,Other,"Thu, Feb 23, 2017","4:00 PM, EST",,"Wilmington District Office 1105 N Market St, Wilmington, DE 19801",https://townhallproject.com
Dennis Ross,Republican,Florida,FL-15,Town Hall,"Tue, Feb 21, 2017","5:30 PM, EST",,"Clermont City Center 620 W Montrose St, Clermont, FL 34711",https://townhallproject.com
Marco Rubio,Republican,Florida,Senate,Empty Chair Town Hall,"Wed, Feb 22, 2017","7:00 PM, EST",,"National Association of Letter Carriers Branch 599 3003 W Cypress St, Tampa, FL 33609",https://townhallproject.com
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","4:30 PM, EST",,"Milton County Commissioners Building 6495 Caroline St, Milton, FL 32570",https://townhallproject.com
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","7:00 PM, EST",,"Oops Bowling Alley 3721 US-90, Pace, FL 32571",https://townhallproject.com
Matt Gaetz,Republican,Florida,FL-1,Other,"Thu, Feb 23, 2017","12:00 PM, EST",,"Grover T's Restaurant 5887 US-90, Milton, FL 32571",https://townhallproject.com
Matt Gaetz,Republican,Florida,FL-1,Tele-town Hall,"Thu, Feb 23, 2017","8:00 AM, EST",,1330AM WEBY Radio Florida,https://townhallproject.com
Daniel Webster,Republican,Florida,FL-11,Town Hall,"Thu, Feb 23, 2017","2:00 PM, EST",,"Minneola City Hall 800 US-27 #101, Minneola, FL 34715",https://townhallproject.com
Daniel Webster,Republican,Florida,FL-11,Other,"Fri, Feb 24, 2017","11:00 AM, EST",,"Sumter County Annex Buildings 8015 E County Rd 466 b, The Villages, FL 32162",https://townhallproject.com
Stephanie Murphy,Democrat,Florida,FL-07,Other,"Fri, Feb 24, 2017","10:00 AM, EST",,"Oviedo Mall Community Room 1700 Oviedo Mall Boulevard, Oviedo, FL 32765",https://townhallproject.com
Ted Yoho,Republican,Florida,FL-03,Town Hall,"Sat, Mar 4, 2017","10:00 AM, EST",,"Santa Fe College Fine Arts Hall 3000 NW 83 St, Gainesville, FL 32606",https://townhallproject.com
Carlos Curbelo,Republican,Florida,FL-26,Tele-town Hall,"Wed, Mar 29, 2017","7:00 PM, EST",,Call-in Florida,https://townhallproject.com
Brian Mast,Republican,Florida,FL-18,Town Hall,"Fri, Feb 24, 2017","1:00 PM, EST",,"Havert L. Fenn Center 2000 Virginia Ave, Fort Pierce, FL 34982",https://townhallproject.com
Gus Bilirakis,Republican,Florida,FL-12,Town Hall,"Wed, Feb 22, 2017","6:00 PM, EST",,"Wesley Chapel High School Performing Arts Center 30651 Wells Rd, Wesley Chapel, FL 33545",https://townhallproject.com
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Tue, Feb 21, 2017","3:00 PM, EST",,"Armstrong College Center Auditorium 13040 Abercorn St, Savannah, GA 31419",https://townhallproject.com
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, Feb 22, 2017","10:30 AM, EST",,"Coastal Pines Technical College 1777 W Cherry St, Jesup, GA 31545",https://townhallproject.com
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Wed, Feb 22, 2017","2:30 PM, EST",,"Coastel Pines Technical College 1701 Carswell Ave, Waycross, GA 31503",https://townhallproject.com
David Perdue,Republican,Georgia,Senate,Office Hours,"Thu, Feb 23, 2017","10:00 AM, EST",,"Henry County Farm Bureau 117 Racetrack Rd, McDonough, GA 30253",https://townhallproject.com
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, Feb 23, 2017","10:00 AM, EST",,"College of Coastal Georgia College Dr, Brunswick, GA 31520",https://townhallproject.com
Buddy Carter,Republican,Georgia,GA-01,Town Hall,"Thu, Feb 23, 2017","2:30 PM, EST",,"College of Coastal Georgia College of Coastal Georgia Camden Center, 8001 Lakes Blvd E, Kingsland, GA 31548",https://townhallproject.com
Hank Johnson,Democratic,Georgia,GA-4,Other,"Fri, Mar 3, 2017","10:00 AM, EST",,"Georgia Piedmont Technical College 495 N Indian Creek Dr, Clarkston, GA 30021",https://townhallproject.com
Tulsi Gabbard,Democratic,Hawaii,HI-2,Office Hours,"Fri, Feb 24, 2017","12:00 PM,",,"Kailua Public Library 239 Kuulei Rd, Kailua, HI 96734",https://townhallproject.com
Tulsi Gabbard,Democratic,Hawaii,HI-2,Office Hours,"Fri, Feb 24, 2017","12:00 PM,",,"Kailua Public Library 239 Kuulei Rd, Kailua, HI 96734",https://townhallproject.com
Tulsi Gabbard,Democrat,Hawaii,HI-01,Office Hours,"Fri, Feb 24, 2017","12:00 PM, HAST",,"Kailua Public Library 239 Kuulei Rd, Kailua, HI 96734",https://townhallproject.com
Rodney Davis,Republican,Illinois,IL-13,Mobile Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",,"Boys & Girls Club of Central Illinois 300 S 15th St, Springfield, IL 62703",https://townhallproject.com
Bill Foster,Democrat,Illinois,IL-011,Other,"Wed, Feb 22, 2017","9:00 AM, CST",,"Aurora Public Library (Eola Branch) 555 S Eola Rd, Aurora, IL 60504",https://townhallproject.com
Danny K. Davis,Democratic,Illinois,IL-07,Town Hall,"Thu, Feb 23, 2017","7:00 PM, CST",,"Xilin Art Academy 2356 S Wentworth Ave, Chicago, IL 60616",https://townhallproject.com
Luis Gutierrez,Democrat,Illinois,IL-04,Town Hall,"Mon, Mar 6, 2017","6:30 PM, CST",,"Logandale Middle School 3212 W George St, Chicago, IL 60618",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 4, 2017","1:30 PM, EST",,"Huntingburg City Hall 508 E 4th St, Huntingburg, IN 47542",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 14, 2017","1:30 PM, CST",,"Tell City City Hall 700 Main St, Tell City, IN 47586",https://townhallproject.com
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Tue, Feb 21, 2017","10:00 AM, EST",,"Francesville Town Hall 100 N Brooks St, Francesville, IN 47946",https://townhallproject.com
Peter J. Visclosky,Democratic,Indiana,IN-1,Other,"Wed, Feb 22, 2017","6:00 PM, CST",,"Valparaiso University _ Harre Union 1509 Chapel Dr, Valparaiso, IN 46383",https://townhallproject.com
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Thu, Feb 23, 2017","9:00 AM, EST",,"Peru City Hall, Board of Works Room 35 S Broadway, Peru, IN 46970",https://townhallproject.com
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Thu, Feb 23, 2017","12:00 PM, EST",,"Wabash City Hall, Board Room 202 S Wabash St, Wabash, IN 46992",https://townhallproject.com
Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",,"CAFE (Community Alliance of the Far Eastside) 8902 E 38th St, Indianapolis, IN 46226",https://townhallproject.com
Jackie Walorski,Republican,Indiana,IN-2,Office Hours,"Tue, Feb 28, 2017","1:00 PM, EST",,"Silver Lake Town Hall 604 N Jefferson St, Silver Lake, IN 46982",https://townhallproject.com
Andre Carson,Democrat,Indiana,IN-07,Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",,"CAFE (Community Alliance of the Far Eastside) 8902 E 38th St, Indianapolis, IN 46226",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 2, 2017","10:00 AM, EST",,"Petersburg City Hall 704 Main St, Petersburg, IN 47567",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","9:30 AM, EST",,"Clay County Court House 609 E National Ave, Brazil, IN 47834",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","1:30 PM, EST",,"Ferdinand Town Hall 2065 Main St, Ferdinand, IN 47532",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 7, 2017","2:00 PM, EST",,"City Hall 86 S Main St, Linton, IN 47441",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 9, 2017","10:00 AM, CST",,"Mt. Vernon Mayor's Office 520 Main St, Mt Vernon, IN 47620",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 14, 2017","10:00 AM, EST",,"Owen County Court House 60 S Main St, Spencer, IN 47460",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Wed, Mar 15, 2017","1:00 PM, EST",,"Washington Mayor's Office, City Council Chambers 200 Harned Ave, Washington, IN 47501",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 16, 2017","10:00 AM, CST",,"Princeton City Hall 310 W State St, Princeton, IN 47670",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 16, 2017","9:30 AM, EST",,"Courthouse 100 N Court St, Sullivan, IN 47882",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","12:30 PM, EST",,"Parke County Courthouse 116 W High St, Rockville, IN 47872",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","1:30 PM, CST",,"Rockport City Hall 426 Main St, Rockport, IN 47635",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 21, 2017","9:30 AM, EST",,"Clinton City Hall Municipal Building 259 Vine St, Clinton, IN 47842",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Thu, Mar 23, 2017","11:00 AM, EST",,"Loogootee Municipal Building, Council Chamber 401 John F Kennedy Ave, Loogootee, IN 47553",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Mar 28, 2017","1:30 PM, CST",,"Newburgh Town Hall (Conference Room) 23 W Jennings St, Newburgh, IN 47630",https://townhallproject.com
Andre Carson,Democratic,Indiana,IN-7,Office Hours,"Wed, Mar 29, 2017","3:00 PM, EST",,"Christamore House Family & Community Center 502 N Tremont St, Indianapolis, IN 46222",https://townhallproject.com
Andre Carson,Democrat,Indiana,IN-07,Office Hours,"Wed, Mar 29, 2017","3:00 PM, EST",,"Christamore House Family & Community Center 502 N Tremont St, Indianapolis, IN 46222",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 4, 2017","1:30 PM, EST",,"Huntingburg City Hall 508 E 4th St, Huntingburg, IN 47542",https://townhallproject.com
Larry Bacshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 11, 2017","1:30 PM, CST",,"Cannelton City Hall 210 S 8th St #2, Cannelton, IN 47520",https://townhallproject.com
Larry Bucshon,Republican,Indiana,IN-08,Office Hours,"Tue, Apr 25, 2017","3:00 PM, CST",,"Boonville-Warrick County Public Library (Conference Room) 611 W Main St, Boonville, IN 47601",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Every Thurs,"10:00 AM, EST",,"Marion City Hall 301 S Branson St, Marion, IN 46952",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,First Tuesday,"1:00 PM, EST",,"Broad Ripple Fire Station 6330 Guilford Ave, Indianapolis, IN 46220",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second and Fourth Tues,"1:00 PM, EST",,"Zionsville Town Hall 1100 W Oak St, Zionsville, IN 46077",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Tues,"9:00 AM, EST",,"Fay Biccard Glick Neighborhood Center 2990 W 71st St, Indianapolis, IN 46268",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,"10:00 AM, EST",,"Greentown Utility Office 112 N Meridian St, Greentown, IN 46936",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Second Wed,"12:30 PM, EST",,"Tipton Co. Economic Development Organization 114 S Main St, Tipton, IN 46072",https://townhallproject.com
Susan W. Brooks,Republican,Indiana,IN-5,Office Hours,Third Wed,"1:00 PM, EST",,"Hartford City Hall 700 N Walnut St, Hartford City, IN 47348",https://townhallproject.com
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Wed, Feb 22, 2017","11:00 AM, CST",," 106 N 3rd St, Bellevue, IA 52031",https://townhallproject.com
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Wed, Feb 22, 2017","1:00 PM, CST",," 126 S 2nd St, Maquoketa, IA 52060",https://townhallproject.com
Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Thu, Feb 23, 2017","10:00 AM, CST",,"Floyd County Courthouse 101 S Main St, Charles City, IA 50616",https://townhallproject.com
Chuck Grassley,Republican,Iowa,Senate,Town Hall,"Fri, Feb 24, 2017","8:00 AM, CST",,"Parkersburg Civic Center 502 3rd St, Parkersburg, IA 50665",https://townhallproject.com
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Fri, Feb 24, 2017","10:00 AM, CST",," 930 Park St, Grinnell, IA 50112",https://townhallproject.com
Rod Blum,Republican,Iowa,IA-01,Office Hours,"Fri, Feb 24, 2017","12:30 PM, CST",," 300 W State St, Williamsburg, IA 52361",https://townhallproject.com
Pat Roberts,Republican,Kansas,Senate,Ticketed event,"Wed, Feb 22, 2017","11:30 PM, CST",,"Wichita Country Club 8501 E 13th St N, Wichita, KS 67206",https://townhallproject.com
Mitch McConnell,Republican,Kentucky,Senate,Ticketed event,"Wed, Feb 22, 2017","11:30 AM, EST",,"Louisville Marriott East 1903 Embassy Square Blvd, Louisville, KY 40299",https://townhallproject.com
Mitch McConnell,Republican,Kentucky,Senate,Ticketed Event,"Thu, Feb 23, 2017","11:30 AM, EST",,"Hotel Covington 638 Madison Ave, Covington, KY 41011",https://townhallproject.com
Mitch McConnell,Republican,Kentucky,Senate,Other,"Thu, Feb 23, 2017","11:30 AM, EST",,"Hotel Covington 638 Madison Ave, Covington, KY 41011",https://townhallproject.com
James Comer,Republican,Kentucky,KY-01,Town Hall,"Thu, Feb 23, 2017","2:00 PM, EST",,"Casey County Judicial Center Court House Square, Liberty, KY 42539",https://townhallproject.com
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Wed, Feb 22, 2017","3:30 PM, CST",,"East Jefferson Parish Library 4747 W Napoleon Ave, Metairie, LA 70001",https://townhallproject.com
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Thu, Feb 23, 2017","9:00 AM, CST",,Assumption Parrish Louisiana,https://townhallproject.com
Bill Cassidy,Republican,Louisiana,Senate,Town Hall,"Fri, Feb 24, 2017",", CST",,St. Martin Parish Louisiana,https://townhallproject.com
Angus King,Independent,Maine,Senate,Coffee,Every Wednesday,"9:00 AM, EST",,"Hart Senate Office Building Hart Senate Office Building, Washington, DC 20002",https://townhallproject.com
John Delaney,Democrat,Maryland,MD-06,Other,"Thu, Mar 2, 2017","6:00 PM, EST",,"Northern Middle School 701 Northern Ave, Hagerstown, MD 21742",https://townhallproject.com
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Thursday,"11:00 AM, EST",,"Praisner Community Recreation Center 14906 Old Columbia Pike, Burtonsville, MD 20866",https://townhallproject.com
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Every Tuesday,"11:00 AM, EST",,"Arundel Center 44 Calvert St #349, Annapolis, MD 21401",https://townhallproject.com
John Sarbanes,Democratic,Maryland,MD-3,Office Hours,Weekdays,"9:00 AM, EST",," 600 Baltimore Ave #303, Towson, MD 21204",https://townhallproject.com
John Delaney,Democratic,Maryland,MD-08,Other,"Wed, Feb 22, 2017","1:00 PM, EST",,"The Activity Center at Bohrer Park 506 S Frederick Ave, Gaithersburg, MD 20877",https://townhallproject.com
Seth Moulton,Democrat,Massachusetts,MA-06,Office Hours,"Wed, Feb 22, 2017","4:30 PM, EST",,"Council on Aging and Senior Center 17 Pickering St, Essex, MA 01929",https://townhallproject.com
Ed Markey,Democratic,Massachusetts,Senate,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST",,"Smith College - Sweeney Concert Hall 51 College Ln, Northampton, MA 01060",https://townhallproject.com
Edward Markey,Democrat,Massachusetts,Senate,Town Hall,"Thu, Feb 23, 2017","6:00 PM, EST",,"Sweeney Concert Hall, Smith College 144 Green St, Northampton, MA 01060",https://townhallproject.com
Jim McGovern,Democratic,Massachusetts,MA-2,Ticketed Event,"Sat, Feb 25, 2017","9:00 AM, EST",,"The Manor Banquet Facility 42 W Boylston St, West Boylston, MA 01583",https://townhallproject.com
Jim McGovern,Democrat,Massachusetts,MA-02,Other,"Sat, Feb 25, 2017","9:00 AM, EST",,"Union Station 2 Washington Square, Worcester, MA 01604",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Monday,"4:00 PM, EST",,"Everett City Hall 484 Broadway, Everett, MA 02149",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Thursday,"4:00 PM, EST",,"The Cooperative Bank in Charlestown 201 Main St, Charlestown, MA 02129",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,First Tuesday,"4:00 PM, EST",,"Chelsea City Hall 500 Broadway, Chelsea, MA 02150",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Friday,"3:00 PM, EST",,"Mattapan Health Center 1575 Blue Hill Avenue, Boston, MA 02126",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"10:00 AM, EST",,"Boston Public Library, Adams Village Branch 690 Adams St, Dorchester, MA 02122",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"10:00 AM, EST",,"JP Licks, Brigham Circle 1618 Tremont St, Boston, MA 02120",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Fourth Thursday,"4:00 PM, EST",,"Somerville City Hall Alderman's Chamber 93 Highland Ave, Somerville, MA 02143",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Thursday,"12:00 PM, EST",,"Fenway Community Health Center 1340 Boylston St, Boston, MA 02215",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Second Tuesday,"4:00 PM, EST",,"Maverick Marketplace Business Incubator East Boston Main Streets 154 Maverick St, Boston, MA 02128",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Friday,"11:00 AM, EST",,"Veronica Smith Senior Center 20 Chestnut Hill Ave, Boston, MA 02135",https://townhallproject.com
Mike Capuano,Democratic,Massachusetts,MA-7,Office Hours,Third Thursday,"2:30 PM, EST",,"Bean and Cream 680 Truman Pkwy, Hyde Park, MA 02136",https://townhallproject.com
