,org_name,phone,site
31,Center for Community Change,202-339-9300,www.communitychange.org
32,People's Action,312-243-3035,www.peoplesaction.org
33,National Partnership for New Americans (NPNA),773-443-0539,www.partnershipfornewamericans.org
34,Asian American Legal Defense and Education Fund (AALDEF),212-966-5932,www.aaldef.org
35,Asian Americans Advancing Justice | AAJC,202-296-2300,www.advancingjustice-aajc.org
36,Movement of Immigrants in America (Mia),202-495-2641,http://www.miausa.org/
37,Hispanic Federation,1-866-432-9832,https://hispanicfederation.org
38,Alabama Coalition for Immigrant Justice (ACIJ),334-356-6244,http://www.acij.net
39,Hispanic Catholic Social Services,205-987-4771,http://hcsslacasita.org
40,Hispanic Interest Coalition of Alabama,205-942-5505,http://www.hispanicinterest.org
41,Adelante Alabama Worker Center,205317-1481,www.adelantealabama.org
42,Catholic Social Services of Mobile - Refugee Resettlement Program,251-432-2727,http://www.catholicsocialservicesmobile.com
43,Catholic Social Services of Montgomery - Immigrant Services,334-288-8890 ext 218,http://www.cssalabama.org
44,Catholic Social Services of Mobile - Legal Immigration Program ,251-947-3878,http://cssbaldwin.org
45,Alaska Immigration Justice Project,907-279-2457,http://www.akijp.org
46,Arkansas United Community Coalition (AUCC),479-763-2822,http://arkansascoalition.org/
47,Arkansas United Community Coalition (AUCC),479-763-2822,www.arkansascoalition.org/
48,ONE Arizona,602-429-9430,http://www.onearizona.org
49,Arizona Center for Empowerment,602-388-9745,https://www.facebook.com/Arizona-Center-for-Empowerment-278654918829164/?ref=page_internal&mt_nav=1
50,Living United for Change in Arizona (LUChA),602-388-9745, http://www.luchaaz.org/immigration_services
51,Chicanos Por La Causa,602-257-0700,http://cplc.org
52,Friendly House,602-257-1870,https://friendlyhouse.org
53,Unlimited Potential,602-305-4742,http://www.upaz.org
54,Puente Movement,602-252-1283,http://puenteaz.org
55,Neighborhood Ministries,602-252-5225,http://nmphx.com
56,Center for Neighborhood Leadership,N/A,http://azcnl.org
57,Transqueer Pueblo,480-849-3797,"https://www.facebook.com/transqueerpueblo/, https://www.instagram.com/trans_queer_pueblo_/"
58,Aliento ,402-302-2783,www.alientoaz.org 
59,Valle Del Sol,602-258-6797,http://www.valledelsol.com
60,Border Action Network,510-316-3971,www.borderaction.org
61,No More Deaths/No Mas Muertes,520-333-5699,http://forms.nomoredeaths.org/en/
62,Promise Arizona (PAZ),602-288-3663,www.promiseaz.org
63,Promise Arizona (PAZ),602-288-3663 or Tollfree 888-511-7136,www.promiseaz.org
64,Catholic Charities of Little Rock,501-664-0340 ext 314,http://www.dolr.org/offices/catholiccharities/immigration.php
65,Catholic Charities of Springdale,479-927-1996,http://www.dolr.org/offices/catholiccharities/immigration-springdale.php
66,University of Arkansas School of Law Immigration Clinic,479-575-3056,http://law.uark.edu
67,Day Worker Center of Mountain View,650-903-4102,http://www.dayworkercentermv.org/
68,Silicon Valley Community Foundation,650-450-5400,http://www.siliconvalleycf.org/
69,Immigrant Legal Resource Center,415-255-9499,https://www.ilrc.org/
70,OneJustice,415-834-0100,https://onejustice.org/
71,Educators for Fair Consideration (E4FC),N/A,http://www.e4fc.org/
72,Catholic Charities of East Bay,510-768-3142,http://www.cceb.org/
73,African Advocacy Network,415-503-1032,http://www.aansf.org/
74,Arab Resource and Organizing Center,415-861-7444,http://araborganizing.org/
75,Asian Law Caucus,415-896-1701,http://www.advancingjustice-alc.org/
76,Central American Resource Center,415-642-4400,http://www.carecensf.org/
77,La Raza Centro Legal,415-575-3500,http://www.lrcl.org/
78,Mujeres Unidas and Activas,415-621-8140,http://mujeresunidas.net/
79,Causa Justa,415-487-9203,http://cjjc.org/
80,Dolores Street Community Services,415-282-6209,http://www.dscs.org/
81,Legal Aid Society-Employment Law Center,415-864-8848,https://las-elc.org/
82,Asian Americans Advancing Justice - Asian Law Caucus,415-896-1701,http://www.advancingjustice-alc.org/
83,Immigrant Legal Resources Center,415-255-9499,https://www.ilrc.org/
84, La Raza Community Resource Center ,"
415-863-0764",http://larazacrc.org/
85,South Asian Network,562-403-0488,southasiannetwork.org
86,Native Hawaiian and Pacific Islander Alliance,310-766-3196,Please call to schedule appointments
87,El Concilio,209-644-2600,http://www.elconcilio.org/
88,Community Legal Services of East Palo Alto,650-326-6440,http://www.clsepa.org/
89,Voto Latino (California Office),559-473-6096,http://votolatino.org/about-us/
90,Central Valley Immigrant Integration Collaborative,N/A,http://vallecentral.org/tag/central-valley-immigrant-integration-collaborative/
91,Dream Success Center/Dream Outreach Center,559-278-1554,http://www.fresnostate.edu/studentaffairs/dsc/
92,Kids in Need of Defense (Fresno Office),559-240-4184,https://supportkind.org/about/team/
93,United Farm Workers (UFW) Foundation,559-496-0700,http://ufwfoundation.org/
94,Centro C.H.A.,N/A,http://www.centrocha.org/
95,CHIRLA,213-353-1333,http://www.chirla.org/
96,CARECEN,N/A,http://www.carecen-la.org/
97,Asian Americans Advancing Justice (Los Angeles Office),888-349-9695,http://www.advancingjustice-la.org/
98,Esperanza Immigrant Rights Project (Catholic Charities of LA),213-251-3400,http://catholiccharitiesla.org/
99,Legal Aid Foundation Los Angeles,213-640-3883,https://lafla.org/
100,COFEM,213-417-8390,http://www.cofem.org/
101,Korean Resource Center,323-937-3718,http://www.krcla.org/
102,Youth Policy Institute,323-836-0055,http://www.ypiusa.org/
103,Pars Equality Center,818-616-3091,www.parsequalitycenter.org
104,UPLIFT,N/A,http://www.upliftlosangeles.org/
105,"Filipino American Service Group, Inc. (FASGI)",213-487-9804,http://www.fasgi.org
106,Coalition to Abolish Slavery & Trafficking (CAST),N/A,http://www.castla.org/homepage
107,Public Counsel,213-385-2977,http://www.publiccounsel.org/about_us
109,LA Public Libaries,213-228-7000,http://www.lapl.org/
110,Korean Churches for Community Development,213-985-1500,www.kccd.org
111,Asian Pacific Policy & Planning Council (A3PCON),213-239-0300,http://www.asianpacificpolicyandplanningcouncil.org/
112,Immigrant Defenders Law Center,213-634-0999,http://www.immdef.org/
113,Instituto de Educación Popular del Sur de California,213-252-2952,http://idepsca.org/
114,California Rural Legal Assistance Foundation,916-446-7904,http://www.crlaf.org/
115,Puertas Abiertas,707-224-1786,http://puertasabiertasnapa.org/
116,Black Alliance for Just Immigration,510-663-2254,http://blackalliance.org/
117,International Rescue Committee,510-452-8222,https://www.rescue.org/united-states/oakland-ca
118,Pomona Economic Opportunity Center,909-397-4215,http://pomonadaylabor.org/
119,International Institute of the Bay Area,415-538-8100 ext 206,http://www.iibayarea.org/donate/
120,California Immigrant Policy Center,916-448-6762,http://www.caimmigrant.org/
121,Border Angels,619-487-0249,http://www.borderangels.org/our-causes/
122,Casa Cornelia Law Center,619-231-7788,www.casacornelia.org
123,Unitarian Universalist Refugee & Immigrant Services & Education (UURISE),760-477-7537,www.uurise.org
124,Alliance San Diego,619-269-1823,www.alliancesd.org
125,Asian Pacific Islander Legal Outreach,415-567-6255,http://www.apilegaloutreach.org/
126,Pangea Legal Services,415-254-0475,pangealegal.org
127,"Services, Immigrant Rights, and Education Network (SIREN)",408-453-3003,http://www.siren-bayarea.org/
128,Sacred Heart Community Services,408-278-2160,http://sacredheartcs.org/
129,Asian Americans for Community Involvement,408-975-2730,http://aaci.org/
130,National Immigration Law Center (NILC),213-639-3900,https://www.nilc.org/
131,Interfaith Ministries ,209-572-3117,http://interfaithmodesto.org/
132,TODEC Legal Center,951-943-1955,www.TODEC.org
133,Public Law Center,714-541-1010,http://www.publiclawcenter.org/
134,Casa de Paz,720-500-2272,http://www.casadepazcolorado.org
135,Catholic Charities of Colorado Springs,719-866-6450,www.ccharitiescc.org
136,Catholic Charities of Denver,303-742-0828,https://ccdenver.org
137,Mi Familia Vota,303-727-8035,www.mifamiliavota.org
138,ACLU-Denver,303-777-5482,aclu-co.org
139,American Friends Service Community,303-623-3464,https://www.afsc.org/office/denver-co
140,Together Colorado,303-399-2425,togetherco.org
141,Padres Unidos,303-458-6545,padresunidos.org
142,Servicios Delaraza,303-458-5851,serviciosdelaraza.org
143,9 to 5 Org,303-628-0925,http://9to5.org/local-chapters/9to5-colorado/
144,Centro Humanitario,303-292-4115,http://www.centrohumanitario.org
145,CLLARO,303-722-5150,http://cllaro.org
146,Color Latina,303-393-0382,colorlatina.org
147,Towards Justice,720-441-2236,www.towardsjustice.org
148,Colorado Immigrant Rights Coalition,303-922-3344,http://coloradoimmigrant.org/
149,Colorado People's Alliance (COPA),303-893-3500,https://coloradopeoplesalliance.org
150,Catholic Charities of Pueblo,719-543-1741,http://www.pueblocharities.org/
151,San Luis Valley Immigrant Resource Center,719-587-3225,http://www.slvirc.org/
152,Catholic Charities of the Diocese of Bridgeport,203-416-1311,http://www.ccfairfield.org
153,Connecticut Legal Services (Bridgeport Office),203-336-3851,http://ctlegal.org
154,"International Institute of Connecticut, Inc. (Bridgeport Office)",203-336-0141,http://iiconn.org
155,"Catholic Charities  of Hartford - Migration, Refugee, and Immigration Services",860-297-7800,http://ccaoh.org
156,Center for Children's Advocacy,860-570-5327,http://www.kidscounsel.org/our-work/immigration/
157,Center for Latino Progress,860-247-3227,http://www.ctprf.org
158,Greater Hartford Legal Aid,860-541-5000,http://www.ghla.org
159,Hartford Public Library - The American Place,860-695-6337,http://www.hplct.org/library-services/immigration-citizenship
160,"International Institute of Connecticut, Inc. (Hartford Office)",860-692-3085,http://iiconn.org
161,Connecticut Legal Services (New Britain Office),860-225-8678,http://ctlegal.org
162,Integrated Refugee and Immigrant Services (IRIS),203-562-2095,http://www.irisct.org/
163,Apostle Immigrant Services,203-752-9068,http://www.apostleimmigrantservices.org
164,New Haven Legal Assisstance,203-946-4811,nhlegal.org/
165,IRIS - Integrated Refugee & Immigrant Services,203-562-2769,http://www.irisct.org
166,"New Haven Legal Assistance Association, Inc.",203-946-4811,http://www.nhlegal.org
167,Junta for Progressive Action,203-787-0191,http://juntainc.org/en/
168,Unidad Latina en Accion,203-479-2959,https://ulanewhaven.org/
169,Catholic Charities of Norwich ,860-443-5328,http://www.ccfsn.org
170,Connecticut Legal Services (New London Office),860-447-0323,http://ctlegal.org
171,Connecticut Legal Services (Stamford Office),203-348-9216 ext 0,http://ctlegal.org
172,"International Institute of Connecticut, Inc. (Stamford Office)",203-965-7190,http://iiconn.org
173,Connecticut Legal Services (Waterbury Office),203-756-8074,http://ctlegal.org
174,Connecticut Legal Services (Willimantic Office),860-456-1761,http://ctlegal.org
175,Jewish Family Service of Greenwich,203-622-1881,http://jfsgreenwich.org
176,CT Students for a Dream,203-391-1626,www.ct4adream.org
177,Connecticut Immigrant Rights Alliance,203-651-9290,https://www.facebook.com/CTImmigrantRightsAlliance
178,Capital Area Immigrant Rights,N/A,https://www.caircoalition.org/
181,Esperanza Education Fund,202-656-4673,esperanzafund.org
182,Many Languages One Voice ,202-838-6568,www.mlovdc.org
183,Asian American LEAD,202-884-0322,www.aalead.org
184,Ayuda,202-387-4848,www.ayuda.com
185,La Esperanza Center,302-854-9262,http://laesperanzacenter.org/contact-us/
186,"Community Legal Aid Society, Inc",800-292-7980,http://www.declasi.org/contact-us/
187,Delaware Alliance for Community Advancement (DACA),302-656-8200,http://www.delaca.org/
188,Catholic Charities - Diocese of Wilmington,302-655-9624,http://www.ccwilm.org/immigration/
189,Hope Community Center,407-880-4673,hcc-offm.org
190,Farmworkers Self Help,352-567-1432,www.fshflorida.org
191,Gainesville Interfaith Alliance for Immigrant Rights,352-371-6772,http://gainesvilleiaij.blogspot.com/
192,Redlands Christian Migrant Association,239-658-3560,www.rcma.org
193,Florida Immigrant Coalition,305-571-7254,https://floridaimmigrant.org/
194,Americans for Immigrant Justice,305-573-1106,http://www.aijustice.org
195,Palm Beach County Coalition for Immigrant Rights,561-594-1087,palmbeachimmigrant.org
196,Florida Immigrant Youth Network,786-273-9748,https://floridaimmigrant.org/placemarks/florida-immigrant-youth-network-flyin/
197,Young American DREAMers,N/A,www.youngamericandreamers.com/
198,Florida Immigrant Coalition (FLIC),305-571-7254,https://floridaimmigrant.org/
199,Guatemala Mayan Center,561-547-0085,http://www.guatemalanmaya.org
200,Catholic Charities Legal Services - Archdiocese of Miami,305-373-1073,http://cclsmiami.org
201,We Count!,305247-2202,http://www.we-count.org
202,National Alliance to Nurture the Aged and the Youth (NANAY),305-951-5550,www.NANAY.com
203,New American Pathways,404-299-6099,http://newamericanpathways.org/
204,Georgia Latino Alliance for Human Rights (GLAHR),770-457-5232,http://www.glahr.org/
205,Georgia Asylum & Immigration Network,404-572-2609,http://georgiaasylum.org/
206,The Latin American Association,404-638-1800,http://thelaa.org/
207,Georgia Association of Latino Elected Officials,888-54GALEO,galeo.org
208,Atlanta Mayor's Office of Immigrant Affairs ,404-330-6385,http://www.welcomingatlanta.com/
209,Freedom University,N/A,http://www.freedomuniversitygeorgia.com/
211,Lutheran Services of Georgia,404-875-0201,Lsga.org
212,Asian Americans Advancing Justice - Atlanta,404-585-8446,https://advancingjustice-atlanta.org/
213,"Center for Pan Asian Community Services, Inc.",770-936-0969,cpacs.org
214,Access To Law Foundation,770-685-1499,www.accesstolawfoundation.org
215,Refugee Women's Network,404-437-7767,http://refugeewomensnetworkinc.org/
216,El Refugio,229-234-9022,http://elrefugiostewart.org/
217,Southeast Georgia Communities Project,912-526-5451,www.segcp.org
218,Pacific Gateway Center,808-851-7010,http://www.pacificgatewaycenter.org/
219,Goodwill Hawaii Immigrant Resource Center,808-836-0313,http://www.higoodwill.org/goodwill-programs/community-services/immigrant-services/
220,Catholic Charities of Idaho,208-345-6031,http://ccidaho.org/
221,World Relief Boise,208-323-4964,http://worldreliefboise.org/
222,Agency for New Americans,208-338-0033 ext 25,http://www.anaidaho.org/
223,Idaho Community Action Network (ICAN),208-385-9146 or 1-866-385-9146,www.idahocan.org
224,University of Idaho College of Law Immigration Law Clinic,208-885-2255,http://www.uidaho.edu/law/academics/practical-skills/clinics/immigration
225,Adult Learning Resource Center,847-378-6225,http://www.thecenterweb.org/alrc/esl.html
226,Southwest Suburban Immigrant Project,630-296-6755,http://ssipchicago.org/
227,Arab American Family Services,708-599-2237,http://www.arabamericanfamilyservices.org/
228,"Apna Ghar, Inc",773-883-4663,http://www.apnaghar.org/
229,Arab American Action Network,773-436-6060,http://www.aaan.org/
230,Assyrian National Council of Illinois,773-262-5589,http://www.ancil.org/
231,Cambodian Association of Illinois,773-878-7090,http://www.cai-nationalmuseum.org/
232,Centro de Trabajadores Unidos,773-297-3370,http://centrodetrabajadoresunidos.org/
233,Centro Romero,773-508-5300,www.centroromero.org
234,Chicago Irish Immigrant Support,773-282-8445,http://www.irishchicago.org/
235,Chicago Korean American Resource and Cultural Center (KRCC),773-588-9158,http://chicagokrcc.org/
236,Chicago Legal Clinic,773-731-1762,http://www.clclaw.org/about/
237,Chicago Religious Leadership Network on Latin America/Chicago New Sanctuary Coalition,773-293-3680,https://www.crln.org/
238,Chinese American Service League,312-791-0418,https://www.caslservice.org/
239,Chinese Mutual Aid Association,773-784-2900,http://www.chinesemutualaid.org/
240,Community Health Partnership of Illinois,312-795-0000,http://www.chpofil.org/
241,Communities United,773-583-1387,http://communitiesunited.org/
242,Council of Islamic Organizations of Greater Chicago,312-506-0070,http://www.ciogc.org/
243,Council on American-Islamic Relations,312-212-1520,http://www.cairchicago.org/
244,Ethiopian Community Association of Chicago,773-508-0303,http://www.ecachicago.org/home0.aspx
245,"Family Focus, Inc.",312-421-5200,http://www.family-focus.org/
246,Federacions de Clubes Michoacanos,312-491-9317,http://www.fedecmiusa.com/
247,Hanul Family Alliance - Chicago,773-478-8851,http://www.hanulusa.org/
248,Hebrew Immigrant Aid Society (HIAS),312-357-4666,http://hiaschicago.org/
249,Illinois Coalition for Immigrant and Refugee Rights (ICIRR),312-332-7360,www.icirr.org
250,Indo-American Center,773-973-4444,http://indoamerican.org/
251,Iraqi Mutual Aid Society,773-409-4597,http://www.iraqimutualaid.org/
252,Jewish Council On Urban Affairs,312-663-0960,http://www.jcua.org/page.aspx?pid=326
253,Korean American Community Services,773-583-5501,http://kacschicago.org/main/
254,Logan Square Neighborhood Association,773-384-4370,http://www.lsna.net/
255,Muslim Women's Resource Center,773-764-1686,http://www.mwrcnfp.org/
256,PODER ,312-226-2002,http://poderworks.org/
257,Erie Neighborhood House,312-563-5800,http://www.eriehouse.org/
258,Southwest Organizing Project,773-471-8208,http://swopchicago.org/
259,ENLACE Chicago,773-542-9233,http://www.enlacechicago.org/
260,The Resurrection Project,312-666-1323,http://resurrectionproject.org/
261,Polish American Association,773-282-8206,https://www.polish.org/en/
262,Alliance of Filipinos for Immigrant Rights and Empowerment,773-580-1025,http://www.afirechicago.org/
263,Mujeres Latinas en Accion,773-890-7676,http://mujereslatinasenaccion.org/
264,Refugee One,773-989-5647,http://www.refugeeone.org/
265,Instituto del Progreso Latino,773-890-0055,http://www.institutochicago.org/
266,SEIU-Local 1,877-233-8880,http://www.seiu1.org/
267,South-East Asia Center,773-989-6927,http://www.se-asiacenter.org/
268,St. Joseph Services,773-278-0484,http://stjosephservices.org/
269,Farmworker and Landscaper Advocacy Project,847-668-2114,www.flapillinois.org
270,United African Organization,312-949-9980,http://www.uniteafricans.org/
271,Vietnamese Association of Illinois,773-728-3700,http://hnvi.org/
272,Asian Americans Advancing Justice - Chicago,773-271-0899,http://www.advancingjustice-chicago.org/
273,Interfaith Committee for Detained Immigrants,708-297-4065,http://www.icdichicago.org/
274,Centro de Informacion,847-695-9050,http://www.centrodeinformacion.org/
275,Puentes de Esperanza,618-688-4727,http://hoyleton.org/puentes-de-esperanza/
276,Fenix Family Health Center,847-909-2004,http://www.fenixclinic.org/
277,PASO – West Suburban Action Project,708-410-2000,http://www.pasoaction.org/
278,Hanul Family Alliance - Mount Prospect,847-439-5195,http://www.hanulusa.org/
279,Hanul Family Alliance - Mundelein,847-393-7488,http://www.hanulusa.org/
280,Immigration Project,309-829-8703,http://www.immigrationproject.org/
281,Mano a Mano Family Resource Center,847-201-1521,http://www.manoamanofamilyresourcecenter.org/
282,East Central Illinois Refugee & Mutual Assistance Center,217-344-8455,http://ecirmac.weebly.com/
283,Hispanic American Community Education and Services,847-244-0300,http://www.haces.org/
284,Catholic Charities of Evansville,812-423-5456,http://www.charitiesevv.org
285,Sisters of Saint Benedict Immigration Outreach,812-367-1411 ext 2102,http://www.thedome.org
286,Catholic Charities of Fort Wayne-South Bend,260-422-5625,http://www.ccfwsb.org
287,International Institute/LACASA,219-980-4636,http://www.iilcnwi.org/index.html
288,"LaCasa, Inc",574-533-4450,http://www.lacasainc.net
289,National Immigrant Justice Center (Goshen Office),312-660-1370,http://www.immigrantjustice.org/
290,Catholic Charities of Indianapolis,317-236-1526,http://www.archindy.org/cc/indianapolis/index.html
291,Indiana Legal Services - Immigrants and Language Rights Center,317-631-9410,http://www.indianalegalservices.org
292,Neighborhood Christian Legal Clinic,317-429-4131,http://www.nclegalclinic.org
293,Hispanic Connection of Southern Indiana,812-944-0527,http://www.hispanicconnectionsi.com
294,Lafayette Urban Ministry Immigration Clinic,765-423-2691,http://www.lumserve.org
295,Immigrant Connection at Bridge Community Church,574-753-8316,http://www.thebridgelogansport.com
296,"La Casa de Amistad, Inc",574-233-2120,http://www.lacasadeamistad.org
297,Valparaiso University Immigration Clinic,219-465-7903,http://www.valpo.edu/law/current-students/c-academics/c-clinic-and-skill-based-learning/c-law-clinics
298,Catholic Charities of the Archdiocese of Dubuque ,319-364-7121,https://www.catholiccharitiesdubuque.org
299,Iowa Justice for Our Neighbors (Cedar Rapids Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
300,Diocese of Davenport - Immigration Services,563-324-1911,http://www.davenportdiocese.org
301,American Friends Service Committee - Legal Services Program,515-274-4851,https://www.afsc.org/program/iowa-immigrant-rights-program
302,U.S. Committee for Refugees and Immigrants (USCRI Des Moines),515-528-7525,http://refugees.org/field-office/des-moines/
303,Immigrant Rights Network of Iowa,515-402-6238,http://www.irnofiowa.org
304,Iowa Justice for Our Neighbors (Des Moines Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
305,Iowa Legal Aid,515-243-2980,http://www.iowalegalaid.org
306,Iowa Citizens for Community Improvement (ICCI),515-282-0484,www.iowacci.org
307,Catholic Charities of Archdioces of Dubuque - Immigration Legal Services,319-364-7121,https://www.catholiccharitiesdubuque.org
308,Diversity Service Center of Iowa,563-264-8883,https://sites.google.com/site/diversityservicecenterofiowa/
309,Iowa Justice for Our Neighbors (Columbus Junction Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
310,Iowa Justice for Our Neighbors (Decorah Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
311,Iowa Justice for Our Neighbors (Ottumwa Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
312,Iowa Justice for Our Neighbors (Storm Lake Office),515-255-9809,http://www.iowajfon.org/#iowa-jfon
313,Mary J. Treglia Community House,712-258-5137,http://marytreglia.org
314,University of Iowa College of Law - Immigration Clinical Program,319-335-9023,https://law.uiowa.edu/clinic
315,Internatl Rescue Committee- Garden City,620-805-5350,https://www.rescue.org/united-states/garden-city-ks
316,Catholic Charities of Northern Kansas (Hays Office) ,785-625-2644,http://www.ccnks.org/
317,Kansas City Public Library - Refugee and Immigrant Services,816-701-3587,https://www.kclibrary.org/services/immigrant-services
318,La Luz Clinic (Catholic Charities of Northeast Kansas),913-621-1504,https://catholiccharitiesks.org/la-luz-center/
319,Kansas/Missouri Dream Alliance (KSMODA),816965-3357,https://www.facebook.com/KSMODA
320,Catholic Charities of Northern Kansas (Manhattan Office),785-323-0644,http://www.ccnks.org/
321,"Immigrant Connection, Inc",913-210-1776,http://immigrantconnectioninc.org/
322,Catholic Charities of Northern Kansas (Salina Office) ,785-825-0208,http://www.ccnks.org/
323,Catholic Charities of Wichita,316-264-8344,http://www.catholiccharitieswichita.org/
324,International Rescue Committee- Wichita,316351-5495,https://www.rescue.org/united-states/wichita-ks
325,Sunflower Community Action,316-264-9972,http://sunfloweract.org/
326,Legal Aid of the Bluegrass - Ashland,877-295-4137,http://www.lablaw.org
327,AppalRed Legal Aid (Barbourville Office),606-546-5115,http://www.ardfky.org
328,Legal Aid of the Bluegrass - Covington,859-431-8200,http://www.lablaw.org
329,AppalRed Legal Aid (Hazard Office),606-439-2315,http://www.ardfky.org
330,Kentucky Refugee Ministries - Lexington,859-226-5661,http://www.kyrm.org
331,Legal Aid of the Bluegrass - Lexington,859-233-4556,http://www.lablaw.org
332,Maxwell Street Legal Clinic - Kentucky Equal Justice Center,859-233-3840,http://maxlegalaid.kyequaljustice.org
333,Catholic Charities of Louisville,502-637-9786,http://www.cclou.org
334,Kentucky Refugee Ministries - Louisville,502-479-9180 ext 586,http://www.kyrm.org
335,Americana Community Center,502-366-7813,http://americanacc.org/
336,Legal Aid of the Bluegrass - Morehead,606-784-8921,http://www.lablaw.org
337,AppalRed Legal Aid (Pikeville Office),606-437-3446,http://www.ardfky.org
338,AppalRed Legal Aid (Prestonsburg Office),606-886-3876,http://www.ardfky.org
339,AppalRed Legal Aid (Richmond Office),859-624-1394,http://www.ardfky.org
340,AppalRed Legal Aid (Somerset Office),606-679-7313,http://www.ardfky.org
341,Catholic Charities of the Diocese of Baton Rouge,225-336-8700,http://www.ccdiobr.org/programs/migration-and-refugee-services.html
342,Diocese of Lafayette Office of Migration and Refugee Services,337-261-5535,http://diolaf.org/migration-refugee-services
343,Catholic Charities Archdiocese of New Orleans ,504-457-3462,http://www.ccano.org/
344,Catholic Charities of Maine - Refugee and Immigration Services ,207-523-2793,http://www.ccmaine.org
345,Immigrant Legal Advocacy Project,207-780-1593,http://www.ilapmaine.org
346,Maine Access Immigrant Network,207-552-1800,http://main1.org
347,Maine People's Alliance,207-990-0672,www.mainepeoplesalliance.org
348,"Centro de los Derechos del Migrante, Inc.",410-783-0236,cdmigrante.org
349,CASA de Maryland,301-431-4185,http://wearecasa.org/
350,Massachusetts Immigrant and Refugee Advocacy Coalition (MIRA),617-350-5480,https://www.miracoalition.org/
351,Mayor's Office for Immigrant Advancement,617-635-2980,https://www.boston.gov/departments/immigrant-advancement
352,Irish International Immigrant Center,617-542-7654,http://www.iiicenter.org/
353,Student Immigrant Movement,N/A,http://www.simforus.com/
354,PAIR (Political Asylum/Immigration Representation Project),617-742-9296,http://pairproject.org/
355,Lawyers Committee for Civil Rights and Economic Justice,617-988-0624,www.lawyerscom.org
356,Greater Boston Legal Services,617-603-1808,www.gbls.org
357,Catholic Charities of Massachusetts,617-482-5440,http://www.ccab.org/refugee-services
358,International Institute of New England,617-695-9990,http://iine.org/
359,Refugee and Immigrant Assistance Center,617-238-2430,http://www.riacboston.org/
360,Centro Presente,857-256-2981,http://www.cpresente.org/
361,Immigrant Learning Center,781-322-9777,http://www.ilctr.org/
362,Berkshire Immigrant Center,413-445-4881,http://berkshireic.com/
363,Enroot,617-876-5214,www.enrooteducation.org
364,U.S. Committee for Refugees and Immigrants (USCRI Detroit),313-581-4420,http://refugees.org/field-office/detroit/
365,The International Institute of Metropolitan Detroit,313-871-8600,www.iimd.org
366,Michigan United,877-507-7774,http://www.miunited.org/
367,Migrant Legal Aid,616454-5055,www.migrantlegalaid.com
368,Welcoming Michigan,269-492-7196,http://welcomingmichigan.org/
369,Michigan Immigrant Rights Center,734-239-6863,http://michiganimmigrant.org/
370,Michigan Coalition for Immigrant and Refugee Rights,N/A,http://www.mcirr.org/contact-us.html
371,American Citizens for Justice/Asian American Center for Justice,248-347-1663,http://www.americancitizensforjustice.com/
372,United Cambodian Association of Minnesota - Mendota,651-222-3299,http://ucamn.org/
373,Battered Women's Legal Advocacy Project,612-343-9842,http://www.bwlap.org
374,Lutheran Social Service of Minnesota - Refugee Services,612-879-5263,http://www.lssmn.org
375,"Mid-Minnesota Legal Aid - Immigration Law Project, Minneapolis",612-332-1441,http://www.mylegalaid.org
