title,full_title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Sen,Senator,Kelly,,Ayotte,,,R,NH,Junior Seat,0,F,202-224-3324,202-224-4952,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,KellyAyotte,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,1.23436E+14,,III,6/27/68,
Rep,Representative,Mark,E.,Amodei,,,R,NV,2,1,M,202-225-6155,,http://amodei.house.gov,,332 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,3.07228E+14,,,6/12/58,Rep.Amodei@opencongress.org
Rep,Representative,Alma,,Adams,,,D,NC,12,1,F,202-225-1510,,http://adams.house.gov,,222 Cannon House Office Building,A000370,,H4NC12100,412607,N00035451,RepAdams,,,CongresswomanAdams,,,5/27/46,Rep.Adams@opencongress.org
Rep,Representative,Pete,,Aguilar,,,D,CA,31,1,M,202-225-3201,,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,6/19/79,Rep.Aguilar@opencongress.org
Rep,Representative,Rick,,Allen,,,R,GA,12,1,M,202-225-2823,,http://allen.house.gov,,426 Cannon House Office Building,A000372,,H2GA12121,412625,N00033720,reprickallen,,,CongressmanRickAllen,,,11/7/51,Rep.Allen@opencongress.org
Rep,Representative,Ralph,,Abraham,,,R,LA,5,1,M,202-225-8490,,https://abraham.house.gov,,417 Cannon House Office Building,A000374,,H4LA05221,412630,N00036633,RepAbraham,,,CongressmanRalphAbraham,,,9/16/54,Rep.Abraham@opencongress.org
Rep,Representative,Jodey,,Arrington,,,R,TX,19,1,M,202-225-4005,,,,1029 Longworth House Office Building,A000375,,,412726,,,,,,,,,
Rep,Representative,Spencer,Thomas,Bachus,III,,R,AL,6,0,M,202-225-4921,202-225-2082,http://bachus.house.gov,https://bachus.house.gov/email-me,2246 Rayburn House Office Building,B000013,26715,H2AL06035,400010,N00008091,BachusAL06,http://www.opencongress.org/wiki/Spencer_Bachus,http://youtube.com/congressmanbachus,6769692966,,,12/28/47,
Rep,Representative,Richard,Hugh,Baker,,,R,LA,6,0,M,,,http://baker.house.gov,,,B000072,26882,H6LA06083,400012,N00005407,,http://www.opencongress.org/wiki/Richard_Baker,,,,,5/22/48,
Rep,Representative,Roscoe,G.,Bartlett,,,R,MD,6,0,M,202-225-2721,202-225-2193,http://bartlett.house.gov,http://www.bartlett.house.gov/Email_Roscoe/,2412 Rayburn House Office Building,B000208,26891,H2MD06054,400017,N00002017,,http://www.opencongress.org/wiki/Roscoe_Bartlett,http://youtube.com/RepRoscoeBartlett,roscoebartlett,,,6/3/26,
Rep,Representative,Joe,Linus,Barton,,,R,TX,6,1,M,202-225-2002,,http://joebarton.house.gov,,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,15617630596,,,9/15/49,Rep.Joebarton@opencongress.org
Rep,Representative,Charles,F.,Bass,,Charlie,R,NH,2,0,M,202-225-5206,202-225-2946,http://bass.house.gov/,,2350 Rayburn House Office Building,B000220,22216,H0NH02017,400019,N00000423,RepCharlesBass,http://www.opencongress.org/wiki/Charlie_Bass,http://youtube.com/RepCharlesBass,1.2097E+14,,,1/8/52,
Sen,Senator,Max,S.,Baucus,,,D,MT,Senior Seat,0,M,202-224-2651,202-224-0515,http://www.baucus.senate.gov,http://www.baucus.senate.gov/contact/emailForm.cfm?subj=issue,511 Hart Senate Office Building,B000243,53315,S8MT00010,300005,N00004643,,http://www.opencongress.org/wiki/Max_Baucus,http://youtube.com/SenatorBaucus,,,II,12/11/41,
Rep,Representative,Xavier,,Becerra,,,D,CA,34,1,M,202-225-6235,,http://becerra.house.gov,,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1/26/58,Rep.Becerra@opencongress.org
Sen,Senator,Robert,F.,Bennett,,,R,UT,Junior Seat,0,M,,,http://bennett.senate.gov,,,B000382,53351,S2UT00104,300007,N00006347,,http://www.opencongress.org/wiki/Robert_Bennett,http://youtube.com/SenatorBennett,,,III,9/18/33,
Rep,Representative,Howard,L.,Berman,,,D,CA,28,0,M,202-225-4695,202-225-3196,http://www.house.gov/berman,http://www.house.gov/berman/contact/,2221 Rayburn House Office Building,B000410,26756,H2CA26026,400025,N00008094,RepHowardBerman,http://www.opencongress.org/wiki/Howard_Berman,http://youtube.com/RepHowardBerman,RepHowardBerman,,,4/15/41,
Rep,Representative,Robert,Marion,Berry,,Marion,D,AR,1,0,M,,,http://www.house.gov/berry/,,,B000420,430,H6AR01072,400026,N00005455,,http://www.opencongress.org/wiki/Robert_Marion_Berry,http://youtube.com/CongressmanBerry,,,,8/27/42,
Sen,Senator,Joseph,R.,Biden,Jr.,,D,DE,Senior Seat,0,M,,,http://biden.senate.gov,,,B000444,53279,S8DE00012,300008,N00001669,joebiden,http://www.opencongress.org/wiki/Joseph_Biden,,,,II,11/20/42,
Rep,Representative,Brian,P.,Bilbray,,,R,CA,50,0,M,202-225-0508,202-225-2558,http://www.house.gov/bilbray,http://www.house.gov/bilbray/contact.shtml,2410 Rayburn House Office Building,B000461,21916,H4CA49032,400570,N00006981,BilbrayCA50,http://www.opencongress.org/wiki/Brian_Bilbray,http://youtube.com/CongressmanBilbray,CongressmanBilbray,,,1/28/51,
Sen,Senator,Jeff,,Bingaman,,,D,NM,Senior Seat,0,M,202-224-5521,202-224-2852,http://bingaman.senate.gov,http://www.bingaman.senate.gov/contact/,703 Hart Senate Office Building,B000468,53326,S2NM00021,300009,N00006518,,http://www.opencongress.org/wiki/Jeff_Bingaman,http://youtube.com/SenJeffBingaman,jeffbingaman,,I,10/3/43,
Rep,Representative,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,202-225-3631,,http://bishop.house.gov,,2407 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,3.6674E+11,,,2/4/47,Rep.Bishop@opencongress.org
Rep,Representative,Earl,,Blumenauer,,,D,OR,3,1,M,202-225-4811,,http://blumenauer.house.gov,,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,8/16/48,Rep.Blumenauer@opencongress.org
Sen,Senator,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,,http://www.blunt.senate.gov/public,,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,1.42473E+14,,III,1/10/50,Sen.Blunt@opencongress.org
Rep,Representative,John,A.,Boehner,,,R,OH,8,0,M,202-225-6205,202-225-0704,http://johnboehner.house.gov,http://boehner.house.gov/contact/,1011 Longworth House Office Building,B000589,27015,H0OH08029,400036,N00003675,SpeakerBoehner,http://www.opencongress.org/wiki/John_Boehner,http://youtube.com/johnboehner,1.75083E+14,,,11/17/49,
Sen,Senator,Christopher,S.,Bond,,Kit,R,MO,Senior Seat,0,M,,,http://bond.senate.gov,,,B000611,53313,S6MO00289,300010,N00005178,,http://www.opencongress.org/wiki/Christopher_Bond,http://youtube.com/CSBondMO,,,III,3/6/39,
Rep,Representative,Leonard,L.,Boswell,,,D,IA,3,0,M,202-225-3806,202-225-5608,http://boswell.house.gov,http://boswell.house.gov/messageform.htm,1026 Longworth House Office Building,B000652,384,H6IA03144,400042,N00004208,LeonardBoswell,http://www.opencongress.org/wiki/Leonard_Boswell,http://youtube.com/RepLeonardBoswell,leonard.boswell,,,1/10/34,
Rep,Representative,Frederick,C.,Boucher,,Rick,D,VA,9,0,M,,,http://www.boucher.house.gov,,,B000657,27119,H2VA09010,400043,N00002171,,http://www.opencongress.org/wiki/Frederick_Boucher,,,,,8/1/46,
Sen,Senator,Barbara,,Boxer,,,D,CA,Junior Seat,0,F,202-224-3553,202-224-0454,https://www.boxer.senate.gov,https://www.boxer.senate.gov/contact/shareyourviews.html,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,1.16513E+14,,III,11/11/40,
Rep,Representative,Allen,,Boyd,Jr.,,D,FL,2,0,M,,,http://boyd.house.gov,,,B000716,729,H6FL00046,400044,N00002743,,http://www.opencongress.org/wiki/Allen_Boyd,,,,,6/6/45,
Rep,Representative,Kevin,P.,Brady,,,R,TX,8,1,M,202-225-4901,,http://kevinbrady.house.gov,,1011 Longworth House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,9307301412,,,4/11/55,Rep.Kevinbrady@opencongress.org
Rep,Representative,Corrine,,Brown,,,D,FL,5,0,F,202-225-0123,202-225-2256,https://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,RepCorrineBrown,http://www.opencongress.org/wiki/Corrine_Brown,http://youtube.com/CongresswomanBrown,1.79121E+14,,,11/11/46,
Sen,Senator,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,https://www.brown.senate.gov,http://www.brown.senate.gov/contact,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,,,I,11/9/52,Sen.Brown@opencongress.org
Sen,Senator,Samuel,D.,Brownback,,Sam,R,KS,Senior Seat,0,M,,,http://brownback.senate.gov,,,B000953,21952,S6KS00122,300013,N00005244,SenSamBrownback,http://www.opencongress.org/wiki/Samuel_Brownback,http://youtube.com/SenatorSamBrownback,,,III,9/12/56,
Sen,Senator,Jim,,Bunning,,,R,KY,Junior Seat,0,M,,,http://bunning.senate.gov,,,B001066,26874,S8KY00118,300014,N00003437,,http://www.opencongress.org/wiki/Jim_Bunning,http://youtube.com/SenJimBunning,,,III,10/23/31,
Sen,Senator,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,,http://www.burr.senate.gov,,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,1.32654E+14,,III,11/30/55,Sen.Burr@opencongress.org
Rep,Representative,Dan,L.,Burton,,,R,IN,5,0,M,202-225-2276,202-225-0016,http://burton.house.gov,http://burton.house.gov/contacts/new,2308 Rayburn House Office Building,B001149,26855,H2IN06023,400055,N00000010,RepDanBurton,http://www.opencongress.org/wiki/Dan_Burton,http://youtube.com/CongressmanDanBurton,congressmandanburton,,,6/21/38,
Rep,Representative,Stephen,E.,Buyer,,Steve,R,IN,4,0,M,,,http://stevebuyer.house.gov,,,B001203,26854,H2IN05025,400056,N00003924,,http://www.opencongress.org/wiki/Stephen_Buyer,http://youtube.com/sbuyer,,,,11/26/58,
Sen,Senator,Robert,C.,Byrd,,,D,WV,Senior Seat,0,M,,,http://byrd.senate.gov,,,B001210,53359,S6WV00014,300016,N00002200,,http://www.opencongress.org/wiki/Robert_Byrd,,,,I,11/20/17,
Rep,Representative,Robert,Alan,Brady,,,D,PA,1,1,M,202-225-4731,,http://brady.house.gov,,2004 Rayburn House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,1.18845E+11,,,4/7/45,Rep.Brady@opencongress.org
Rep,Representative,Mary,Whitaker,Bono Mack,,,R,CA,45,0,F,202-225-5330,202-225-2961,http://bono.house.gov,http://www.house.gov/formbono/issue.htm,104 Cannon House Office Building,B001228,1434,H8CA44034,400039,N00007068,MaryBonoMack,http://www.opencongress.org/wiki/Mary_Bono_Mack,http://youtube.com/BonoMackCA45,mary.b.mack,,,10/24/61,
Rep,Representative,Brian,N.,Baird,,,D,WA,3,0,M,,,http://www.baird.house.gov,,,B001229,837,H6WA03135,400011,N00007936,,http://www.opencongress.org/wiki/Brian_Baird,,,,,3/7/56,
Sen,Senator,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,https://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,717 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,7357041101,,I,2/11/62,Sen.Baldwin@opencongress.org
Rep,Representative,Shelley,,Berkley,,,D,NV,1,0,F,202-225-5965,202-225-3119,http://berkley.house.gov,http://berkley.house.gov/contact/email.html,405 Cannon House Office Building,B001231,22744,H8NV01071,400024,N00009818,repberkley,http://www.opencongress.org/wiki/Shelley_Berkley,http://youtube.com/ShelleyBerkley,shelleyberkley,,,1/20/51,
Rep,Representative,Judy,,Biggert,,,R,IL,13,0,F,202-225-3515,202-225-9420,http://judybiggert.house.gov,http://judybiggert.house.gov/ContactJudy.aspx,2113 Rayburn House Office Building,B001232,6298,H8IL13069,400027,N00004762,JudyBiggert,http://www.opencongress.org/wiki/Judy_Biggert,http://youtube.com/JudyBiggert,JudyBiggert,,,8/15/37,
Sen,Senator,Evan,,Bayh,,,D,IN,Junior Seat,0,M,,,http://bayh.senate.gov,,,B001233,22418,S8IN00049,300006,N00003762,,http://www.opencongress.org/wiki/Evan_Bayh,http://youtube.com/SenEvanBayh,,,III,12/26/55,
Rep,Representative,Joe,,Baca,,,D,CA,43,0,M,202-225-6161,202-225-8671,http://www.house.gov/baca,http://www.house.gov/baca/zipauth.shtml,2366 Rayburn House Office Building,B001234,8039,H6CA42099,400009,N00007089,RepJoeBaca,http://www.opencongress.org/wiki/Joe_Baca,http://youtube.com/RepJoeBaca,BacaCA43,,,1/23/47,
Rep,Representative,Henry,E.,Brown,Jr.,,R,SC,1,0,M,,,http://brown.house.gov,,,B001235,3993,H0SC01071,400049,N00002428,,http://www.opencongress.org/wiki/Henry_Brown,http://youtube.com/CongressmanBrown,,,,12/20/35,
Sen,Senator,John,,Boozman,,,R,AR,Senior Seat,1,M,202-224-4843,,https://www.boozman.senate.gov/public/index.cfm/home,,141 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,7686715735,,III,12/10/50,Sen.Boozman@opencongress.org
Rep,Representative,James,Gresham,Barrett,,J. Gresham,R,SC,3,0,M,,,http://www.house.gov/barrett,,,B001239,14577,H2SC03057,400016,N00013837,greshambarrett,http://www.opencongress.org/wiki/J._Gresham_Barrett,http://youtube.com/Repgreshambarrett,,,,2/14/61,
Rep,Representative,Timothy,H.,Bishop,,,D,NY,1,0,M,202-225-3826,202-225-3143,http://timbishop.house.gov,https://timbishop.house.gov/email-me,306 Cannon House Office Building,B001242,44518,H2NY01067,400031,N00025413,TimBishopNY,http://www.opencongress.org/wiki/Timothy_Bishop,http://youtube.com/timbishop01,7940339401,,,6/1/50,
Rep,Representative,Marsha,W.,Blackburn,,,R,TN,7,1,F,202-225-2811,,http://blackburn.house.gov,,2266 Rayburn House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,6470828395,,,6/6/52,Rep.Blackburn@opencongress.org
Rep,Representative,Jo,,Bonner,,,R,AL,1,0,M,202-225-4931,202-225-0562,http://bonner.house.gov,https://forms.house.gov/bonner/webforms/issue_subscribe.html,2236 Rayburn House Office Building,B001244,27522,H2AL01077,400038,N00025330,RepJoBonner,http://www.opencongress.org/wiki/Josiah_Bonner,http://youtube.com/JoBonner,49704847429,,,11/19/59,
Del,Senator,Madeleine,Z.,Bordallo,,,D,GU,0,1,F,202-225-1188,,http://bordallo.house.gov,,2441 Rayburn House Office Building,B001245,1751,H2GU00033,400041,N00024866,,http://www.opencongress.org/wiki/Madeline_Bordallo,,1.6173E+14,,,5/31/33,Rep.Bordallo@opencongress.org
Rep,Representative,Virginia,,Brown-Waite,,Ginny,R,FL,5,0,F,,,http://www.house.gov/brown-waite,,,B001247,8077,H2FL05127,400051,N00024777,,http://www.opencongress.org/wiki/Virginia_Brown-Waite,http://youtube.com/RepGinnyBrownWaite,,,,10/5/43,
Rep,Representative,Michael,C.,Burgess,,,R,TX,26,1,M,202-225-7772,,http://burgess.house.gov,,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,6916472567,,,12/23/50,Rep.Burgess@opencongress.org
Rep,Representative,Rob,,Bishop,,,R,UT,1,1,M,202-225-0453,,http://robbishop.house.gov,,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,7/13/51,Rep.Robbishop@opencongress.org
Rep,Representative,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,1,M,202-225-3101,,http://butterfield.house.gov,,2080 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,2.74688E+14,,,4/27/47,Rep.Butterfield@opencongress.org
Rep,Representative,John,,Barrow,,,D,GA,12,0,M,202-225-2823,202-225-3377,http://barrow.house.gov,http://barrowforms.house.gov/contact/,2202 Rayburn House Office Building,B001252,31780,H4GA12010,400628,N00026080,RepJohnBarrow,http://www.opencongress.org/wiki/John_Barrow,http://youtube.com/RepJohnBarrow,2.85484E+11,,,10/31/55,
Rep,Representative,Melissa,L.,Bean,,,D,IL,8,0,F,,,http://www.house.gov/bean,,,B001253,33448,H2IL08088,400631,N00024875,,http://www.opencongress.org/wiki/Melissa_Bean,,,,,1/22/62,
Rep,Representative,Dan,,Boren,,,D,OK,2,0,M,202-225-2701,202-225-3038,http://www.house.gov/boren,http://www.house.gov/boren/emailsignup.shtml,2447 Rayburn House Office Building,B001254,46182,H4OK02089,400645,N00026481,,http://www.opencongress.org/wiki/David_Daniel_Boren,http://youtube.com/CongressmanBoren,,,,8/2/73,
Rep,Representative,Charles,W.,Boustany,Jr.,,R,LA,3,0,M,202-225-2031,202-225-5724,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,B001255,35514,H4LA07029,400636,N00026595,RepBoustany,http://www.opencongress.org/wiki/Charles_Boustany,http://youtube.com/boustanyla07,1.97408E+14,,,2/21/56,
Rep,Representative,Michele,Marie,Bachmann,,,R,MN,6,0,F,202-225-2331,202-225-6475,http://bachmann.house.gov,https://bachmann.house.gov/contact/email-michele,2417 Rayburn House Office Building,B001256,54675,H6MN06074,412216,N00027493,MicheleBachmann,http://www.opencongress.org/wiki/Michele_Bachmann,http://youtube.com/RepMicheleBachmann,7658849357,,,4/6/56,
Rep,Representative,Gus,M.,Bilirakis,,,R,FL,12,1,M,202-225-5755,,https://bilirakis.house.gov,,2112 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,1.35446E+14,,,2/8/63,Rep.Bilirakis@opencongress.org
Rep,Representative,Nancy,E.,Boyda,,,D,KS,2,0,F,,,http://boyda.house.gov,,,B001258,34790,H4KS02107,412210,N00026434,,http://www.opencongress.org/wiki/Nancy_Boyda,,,,,8/2/55,
Rep,Representative,Bruce,L.,Braley,,,D,IA,1,0,M,202-225-2911,202-225-6666,http://braley.house.gov,http://braley.house.gov/contact,2263 Rayburn House Office Building,B001259,57382,H6IA01098,412208,N00027464,BruceBraley,http://www.opencongress.org/wiki/Bruce_Braley,http://youtube.com/repbrucebraley,1.78887E+14,,,10/30/57,
Rep,Representative,Vern,,Buchanan,,,R,FL,16,1,M,202-225-5015,,https://buchanan.house.gov,,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,67106719910,,,5/8/51,Rep.Buchanan@opencongress.org
Sen,Senator,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,21146775942,,I,7/21/52,Sen.Barrasso@opencongress.org
Rep,Representative,Paul,C.,Broun,Jr.,,R,GA,10,0,M,202-225-4101,202-226-0776,http://broun.house.gov,https://broun.house.gov/forms/writeyourrep/,2437 Rayburn House Office Building,B001262,70001,H8GA10049,412252,N00028986,RepPaulBrounMD,http://www.opencongress.org/wiki/Paul_Broun,http://youtube.com/RepPaulBroun,1.23909E+14,,,5/14/46,
Rep,Representative,John,A.,Boccieri,,,D,OH,16,0,M,,,http://boccieri.house.gov,,,B001263,45694,H8OH16058,412266,N00029161,,http://www.opencongress.org/wiki/John_Boccieri,,,,,10/5/69,
Rep,Representative,Bobby,,Bright,,,D,AL,2,0,M,,,http://www.bright.house.gov,,,B001264,104839,H8AL02130,412267,N00029838,,http://www.opencongress.org/wiki/Bobby_Bright,,,,,7/21/52,
Sen,Senator,Mark,,Begich,,,D,AK,Junior Seat,0,M,202-224-3004,202-224-2354,http://www.begich.senate.gov,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,111 Russell Senate Office Building,B001265,79426,S8AK00090,412326,N00029901,SenatorBegich,http://www.opencongress.org/wiki/Mark_Begich,http://youtube.com/USSenatorMarkBegich,1.2136E+14,,II,3/30/62,
