,description,google_link,link,name,thumbnail
30,"The US is a republic, not a dictatorship. We demand that our congressional 
representatives ... Rally at Culberson's Office: Hands Off Our Healthcare! Mon 12:
00 PM CDT · 10000 Memorial Dr # 620, Houston, TX 77024. Community · 331 
people.",http://www.google.com/url?q=https://www.facebook.com/indivisiblehouston/&sa=U&ved=0ahUKEwiwmtngsOvSAhWC3oMKHcoYA5QQFggUMAA&usg=AFQjCNE3EExCRR939iUH17-aXip86eLZ8Q,https://www.facebook.com/indivisiblehouston/,Indivisible Houston | Facebook,
32,"Indivisible Houston is the Houston area chapter of the fast-growing, nationwide ... 
Houston, TX – (February 13, 2017) – Most years, this weekend would be ...",http://www.google.com/url?q=http://www.indivisiblehouston.org/&sa=U&ved=0ahUKEwiwmtngsOvSAhWC3oMKHcoYA5QQFggeMAI&usg=AFQjCNFg4mtvxQm61gLDcGPRH4V0uww9Qg,http://www.indivisiblehouston.org/,Indivisible Houston – Revolt,
39,"Michael McCaul (TX-10) is reported to have helped draft the executive order, 
says it's only the ... Houston Airport: Protests began at 1 p.m. at Discovery Green",http://www.google.com/url?q=https://www.indivisibleaustin.com/category/lets-go/&sa=U&ved=0ahUKEwiwmtngsOvSAhWC3oMKHcoYA5QQFghEMAk&usg=AFQjCNFI5SRmx5Qz_YRe74dfrv1Ia7evlA,https://www.indivisibleaustin.com/category/lets-go/,Let's Go! – INDIVISIBLE AUSTIN,
40,"Tue 9:30 AM MST · 2200 E Camelback Rd, Phoenix, AZ 85016-3416, United 
States .... Dan O'Neal, Indivisible Phoenix, Mary Santy and 3 others like this.",http://www.google.com/url?q=https://www.facebook.com/indivisiblephoenix/&sa=U&ved=0ahUKEwiBy_zgsOvSAhXJ7IMKHYRBAFIQFggUMAA&usg=AFQjCNFugMXJMr1OFzoXc_vBCqD-vS36Tg,https://www.facebook.com/indivisiblephoenix/,Indivisible Phoenix | Facebook,
41,"Indivisible AZ LD24 Encanto. 269 likes · 7 talking about this. Indivisible PHX is a 
meeting place for the Indivisible movement in Phoenix, Az.",http://www.google.com/url?q=https://www.facebook.com/IndivisiblePHX/&sa=U&ved=0ahUKEwiBy_zgsOvSAhXJ7IMKHYRBAFIQFggZMAE&usg=AFQjCNGgPOEHNRLfuGPGsqKWMpSsrjIyaw,https://www.facebook.com/IndivisiblePHX/,Indivisible AZ LD24 Encanto | Facebook,
47,"Concerned about where the country is heading? You're not alone. Join others 
who care about what's happening to democracy, equality, human rights, social ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Phoenix/member/222047548/&sa=U&ved=0ahUKEwiBy_zgsOvSAhXJ7IMKHYRBAFIQFgg4MAc&usg=AFQjCNEOAlvVbuuBEjQyhP8ujLwn5NoElQ,https://www.meetup.com/Resist-Phoenix/member/222047548/,"Indivisible - #Resist: Phoenix (Phoenix, AZ) | Meetup",
50,"Citizens in the Phila area organizing around Indivisible.org guidelines promoting 
... See more of Indivisible Philly by logging into Facebook ... PA Senators:.",http://www.google.com/url?q=https://www.facebook.com/IndivisiblePhilly/&sa=U&ved=0ahUKEwjl9pzhsOvSAhWj5YMKHaEKCEUQFggUMAA&usg=AFQjCNFJPsUjq0MeGODbZldH0T2hITK9wQ,https://www.facebook.com/IndivisiblePhilly/,Indivisible Philly | Facebook,
51,"Indivisible: NW Philly shared a link. · 15 hrs · .... Sat 12:00 PM EDT · Center in the 
Park · Philadelphia, PA ... Indivisible: NW Philly and Janice Prevail like this.",http://www.google.com/url?q=https://www.facebook.com/IndivisiblePhiladelphiaNorthwest/&sa=U&ved=0ahUKEwjl9pzhsOvSAhWj5YMKHaEKCEUQFggZMAE&usg=AFQjCNHBy71hgp9eiMxC1_5OsCZ0Uu4MxA,https://www.facebook.com/IndivisiblePhiladelphiaNorthwest/,Indivisible: NW Philly | Facebook,
52,"Indivisible PHL. ... Please plan to join us at the next Indivisible PHL meeting this 
Thursday, March 23 at .... Sun 2:30 PM EDT · Penn Museum · Philadelphia, PA.",http://www.google.com/url?q=https://www.facebook.com/IndivisiblePhiladelphia/&sa=U&ved=0ahUKEwjl9pzhsOvSAhWj5YMKHaEKCEUQFggeMAI&usg=AFQjCNEGGSGy2EQi7ntERrONsXhc-w-9Ig,https://www.facebook.com/IndivisiblePhiladelphia/,Indivisible PHL | Facebook,
53,"Indivisible Philadelphia shared TuesdayswithToomey's event. · Yesterday at ... 
Tue 12:20 PM EDT · N 2nd St & Chestnut Street #102, Philadelphia, PA 19106.",http://www.google.com/url?q=https://www.facebook.com/Indivisible-Philadelphia-623962597810766/&sa=U&ved=0ahUKEwjl9pzhsOvSAhWj5YMKHaEKCEUQFggjMAM&usg=AFQjCNHftIsBYfCwqZEsqGMAXZcle2CA3w,https://www.facebook.com/Indivisible-Philadelphia-623962597810766/,Indivisible Philadelphia | Facebook,
59,"Find Meetups in Philadelphia, Pennsylvania about Movements and meet people 
in your local ... Indivisible: Narberth and Beyond: Progressives Resist Trump.",http://www.google.com/url?q=https://www.meetup.com/cities/us/pa/philadelphia/movements/&sa=U&ved=0ahUKEwjl9pzhsOvSAhWj5YMKHaEKCEUQFghEMAk&usg=AFQjCNG8pgRu4vYG4oUpjB71Oe6W_oAxog,https://www.meetup.com/cities/us/pa/philadelphia/movements/,Movements Meetups in Philadelphia - Meetup,
60,"Donald Trump is the biggest popular vote loser in history to ever call himself 
PresidentElect. In spite of the fact that he has no mandate, he will attempt.",http://www.google.com/url?q=https://www.meetup.com/Indivisible-San-Antonio-Meetup/&sa=U&ved=0ahUKEwjw_b7hsOvSAhUl7IMKHbwrCfcQFggUMAA&usg=AFQjCNG41-B0PpMjOlrLC3ZA4Jtt-DiAng,https://www.meetup.com/Indivisible-San-Antonio-Meetup/,"Indivisible San Antonio Meetup (San Antonio, TX) | Meetup",
61,"Feb 3, 2017 ... Welcome to Indivisible San Antonio. We are a ... Texas 35th Indivisible – San 
Antonio ... TX23 Indivisible (The Progressive Resistance).",http://www.google.com/url?q=http://indivisiblesanantonio.org/&sa=U&ved=0ahUKEwjw_b7hsOvSAhUl7IMKHbwrCfcQFggZMAE&usg=AFQjCNFJsIYBfn8S0K9dOW0duRC3i1mOYA,http://indivisiblesanantonio.org/,Indivisible San Antonio | A grassroots advocacy group,
65,"Indivisible TX21 Website Join the District 21 Facebook Group Follow District 21 
on Twitter ... district that serves the area north of San Antonio in the state of Texas
.",http://www.google.com/url?q=https://www.indivisibleaustin.com/take-action-now/congressional-districts/district-21/&sa=U&ved=0ahUKEwjw_b7hsOvSAhUl7IMKHbwrCfcQFgguMAU&usg=AFQjCNH2Abs2QAkKGXp0niGoHnkSAOAz8Q,https://www.indivisibleaustin.com/take-action-now/congressional-districts/district-21/,Lamar Smith (TX-21) – INDIVISIBLE AUSTIN,
68,"So, why do governments across Texas, at all levels, make it so difficult for those ... 
Look at San Antonio, mired in traffic and hoping for transit improvements, ...",http://www.google.com/url?q=https://www.indivisible.us/how-to-be-heard/&sa=U&ved=0ahUKEwjw_b7hsOvSAhUl7IMKHbwrCfcQFgg-MAg&usg=AFQjCNGR30yaXZsDlGBrx0r1crmRZTnmgA,https://www.indivisible.us/how-to-be-heard/,How To Be Heard - Indivisible,
71,"Indivisible: Resisting the Trump agenda Dallas, TX. 210 likes. Please click on the 
website link to begin the process of engagement against the Trump...",http://www.google.com/url?q=https://www.facebook.com/indivisibleguideDallasTx/&sa=U&ved=0ahUKEwiyrubhsOvSAhUG0YMKHQ_0DtcQFggaMAE&usg=AFQjCNFGqMLko-BwtIxLdqLlBTLwJGHHkA,https://www.facebook.com/indivisibleguideDallasTx/,"Indivisible: Resisting the Trump agenda Dallas, TX | Facebook",
72,"Indivisible DFW, Dallas, Texas. 1121 likes · 1177 talking about this. The mission 
of IndivisibleDFW is to build an inclusive coalition to fight the...",http://www.google.com/url?q=https://www.facebook.com/indivisibleDFW/&sa=U&ved=0ahUKEwiyrubhsOvSAhUG0YMKHQ_0DtcQFggfMAI&usg=AFQjCNH9aTpJw9fzmUAedaHqsyQIaJrhEw,https://www.facebook.com/indivisibleDFW/,Indivisible DFW | Facebook,
76,"Jan 27, 2017 ... The reason I wanted to attend was to voice my concern for SB6 (nicknamed the 
Texas Bathroom Bill). I did this as a citizen of Dallas, Texas who ...",http://www.google.com/url?q=https://www.indivisibleaustin.com/author/dhh/&sa=U&ved=0ahUKEwiyrubhsOvSAhUG0YMKHQ_0DtcQFggzMAY&usg=AFQjCNFb0AT_bIJvqLSz6GJmBdeU7soM8Q,https://www.indivisibleaustin.com/author/dhh/,Indivisible Dallas – INDIVISIBLE AUSTIN,
80,"Congress Duncan Hunter Jr refuses to meet with his concerned citizens. 
Yesterday his office sent out an email to Indivisible CA 50 organizers that he 
would no ...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleSD/&sa=U&ved=0ahUKEwj61ovisOvSAhVs4oMKHTLKAEAQFggUMAA&usg=AFQjCNGEapndS45-bhakXbyfA6BYXE0dNg,https://www.facebook.com/IndivisibleSD/,Indivisible San Diego | Facebook,
84,Hillcrest Indivisible Official Website We are a local coalition of concerned ...,http://www.google.com/url?q=https://www.meetup.com/Hillcrest-Indivisible/&sa=U&ved=0ahUKEwj61ovisOvSAhVs4oMKHTLKAEAQFggqMAQ&usg=AFQjCNG51ar-ubz3zITOS0wPPESi6HqRLw,https://www.meetup.com/Hillcrest-Indivisible/,"Hillcrest Indivisible (San Diego, CA) | Meetup",
85,Mission Statement From the Woman's March: In the spirit of democracy ...,http://www.google.com/url?q=https://www.meetup.com/Indivisible-San-Diego-Central/&sa=U&ved=0ahUKEwj61ovisOvSAhVs4oMKHTLKAEAQFgg2MAU&usg=AFQjCNEfV3jzLjJjGl-hdlvQyd4My1aqpQ,https://www.meetup.com/Indivisible-San-Diego-Central/,"Indivisible San Diego Central (San Diego, CA) | Meetup",
86,Join The Resistance! These are extraordinary times. Extraordinary times ...,http://www.google.com/url?q=https://www.meetup.com/indivisibleNSDC/&sa=U&ved=0ahUKEwj61ovisOvSAhVs4oMKHTLKAEAQFgg-MAY&usg=AFQjCNGhoCI7B8gPjF1mRYUVVY35v23v9g,https://www.meetup.com/indivisibleNSDC/,"INDIVISIBLE North San Diego County (San Marcos, CA) | Meetup",
90,5 days ago ... Indivisible San Jose (formerly Indivisible Hamilton WG) is ...,http://www.google.com/url?q=https://www.meetup.com/IndivisibleSanJose/&sa=U&ved=0ahUKEwjn867isOvSAhVJ5oMKHfeJBMkQFggUMAA&usg=AFQjCNG4vQMjAXAs_2nOr-cgGNmnoxCfBA,https://www.meetup.com/IndivisibleSanJose/,"Indivisible San Jose (San Jose, CA) | Meetup",
97,"901 E Santa Clara St, San Jose, California 95116 ... co-sponsoring an important 
film screening of ""Indivisible: Love Knows No Borders"" with San Jose's District 3 ...",http://www.google.com/url?q=https://www.facebook.com/events/471882369673166/&sa=U&ved=0ahUKEwjn867isOvSAhVJ5oMKHfeJBMkQFghAMAc&usg=AFQjCNGcCHOnd5NgXMYWokJhSK4dZ0Sonw,https://www.facebook.com/events/471882369673166/,Indivisible: Love Knows No Borders - Facebook,
110,"Indivisible SF unites San Franciscans to resist Donald Trump's disastrous 
agenda.",http://www.google.com/url?q=http://www.indivisiblesf.org/&sa=U&ved=0ahUKEwjRr4bjsOvSAhUDzIMKHdonDnkQFggUMAA&usg=AFQjCNE138AkPWylwRz6nkSyQSx3WTmscg,http://www.indivisiblesf.org/,Indivisible SF - Home,
111,"Erica Etelson   to Indivisible San Francisco. · 15 hrs · .... Sun 1:30 PM PDT · The 
Episcopal Church of Saint John the Evangelist · San Francisco, CA. 34 people ...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleSF/&sa=U&ved=0ahUKEwjRr4bjsOvSAhUDzIMKHdonDnkQFggeMAE&usg=AFQjCNF1uFB7FZ2KZ_B4p6ZLLfb_Rc8x0Q,https://www.facebook.com/IndivisibleSF/,Indivisible San Francisco | Facebook,
128,"Indivisible Jax - Riverside added an event. · March 18 ... Sat 1:00 PM EDT · 2875 
Park St, Jacksonville, FL 32205 ... Indivisible Jax - Riverside shared their event.",http://www.google.com/url?q=https://www.facebook.com/indivisibleriverside/&sa=U&ved=0ahUKEwi6wqzjsOvSAhVK_4MKHfOHASsQFghCMAg&usg=AFQjCNGO613lHPweXad4MBVyWvG0q9xOnA,https://www.facebook.com/indivisibleriverside/,Indivisible Jax - Riverside | Facebook,
129,"Indivisible Guide. 160006 likes · 31772 talking about this. Former congressional 
staffers reveal best practices for making Congress listen.",http://www.google.com/url?q=https://www.facebook.com/indivisibleguide/&sa=U&ved=0ahUKEwi6wqzjsOvSAhVK_4MKHfOHASsQFghHMAk&usg=AFQjCNFpP9JwS_tGktBlAc8Dm2ZKHrp5oA,https://www.facebook.com/indivisibleguide/,Indivisible Guide | Facebook,
130,"Indivisible: Indianapolis. 43 likes · 2 talking about this. Indianapolis based group 
organized to resist the Trump agenda.",http://www.google.com/url?q=https://www.facebook.com/Indivisible-Indianapolis-1342425442497402/&sa=U&ved=0ahUKEwjlrcrjsOvSAhVE4IMKHZ6jAQgQFggUMAA&usg=AFQjCNGN6k39qhxW3fWDPQkWFBe2qnCVXw,https://www.facebook.com/Indivisible-Indianapolis-1342425442497402/,Indivisible: Indianapolis | Facebook,
131,"Indivisible Indianapolis. 172 likes · 8 talking about this. Indivisible Indianapolis is 
a respectful, inclusive, progressive ACTIVIST grassroots...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleIndianapolis/&sa=U&ved=0ahUKEwjlrcrjsOvSAhVE4IMKHZ6jAQgQFggZMAE&usg=AFQjCNELxsMcB21L-cy7CZ0lLjZvl5P9GQ,https://www.facebook.com/IndivisibleIndianapolis/,Indivisible Indianapolis | Facebook,
132,"Indivisible Indiana shared Indiana Democratic Party's photo. · 6 hrs · ..... Sat 3:00 
PM EDT · 23 N Rural St, Indianapolis, IN 46201-3207, United States.",http://www.google.com/url?q=https://www.facebook.com/IndivisibleIndiana/&sa=U&ved=0ahUKEwjlrcrjsOvSAhVE4IMKHZ6jAQgQFggeMAI&usg=AFQjCNGKI19NzFE5VemDOT0SAqElyhVzFA,https://www.facebook.com/IndivisibleIndiana/,Indivisible Indiana | Facebook,
140,"Indivisible Austin supports citizen activists in Central Texas by providing 
leadership, resources, tools, and training to oppose authoritarianism and defend
 ...",http://www.google.com/url?q=https://www.indivisibleaustin.com/&sa=U&ved=0ahUKEwiBoezjsOvSAhXD1IMKHYD3ApEQFggVMAA&usg=AFQjCNHmhsIzzB8hgBRF3WrMXmN9kj6CnQ,https://www.indivisibleaustin.com/,INDIVISIBLE AUSTIN,
143,"Down at Ted Cruz's office telling them we want an investigation #indivisible #
resist .... Wed 7:30 PM CDT · University Medical Center Brackenridge · Austin, TX.",http://www.google.com/url?q=https://www.facebook.com/indivisibleatx/&sa=U&ved=0ahUKEwiBoezjsOvSAhXD1IMKHYD3ApEQFggzMAk&usg=AFQjCNEbW8mW3xuq9-N6Z_QG6VKy2nQpCA,https://www.facebook.com/indivisibleatx/,Indivisibleatx | Facebook,
146,"Mar 5, 2017 ... Join us at the Indivisible Austin citywide gathering and rally for a fun day of 
celebration and re-energizing! Connect with Indivisible folks from ...",http://www.google.com/url?q=https://www.meetup.com/Resist-Austin/events/237784900/&sa=U&ved=0ahUKEwiBoezjsOvSAhXD1IMKHYD3ApEQFghEMAw&usg=AFQjCNGm46u1J8UTLL2NrdnHZ1DLc9REOA,https://www.meetup.com/Resist-Austin/events/237784900/,"Indivisible Austin Rally - #Resist: Austin (Austin, TX) | Meetup",
147,"We are residents of the Columbus, Ohio, area who are committed to resisting the 
... the release of Indivisible: A Practical Guide For Resisting the Trump Agenda.",http://www.google.com/url?q=http://indivisiblecolumbus.com/&sa=U&ved=0ahUKEwi8pJrksOvSAhVm04MKHbNlB5EQFggUMAA&usg=AFQjCNGLu6HFh062fN5GsUR-MiWA9qNVPw,http://indivisiblecolumbus.com/,"Indivisible Columbus | Resisting the Trump Agenda in Columbus, Ohio",
148,"Indivisible Columbus. 405 likes · 46 talking about this. Resisting the Trump 
agenda in Central Ohio.",http://www.google.com/url?q=https://www.facebook.com/IndivisibleColumbusPage/&sa=U&ved=0ahUKEwi8pJrksOvSAhVm04MKHbNlB5EQFggZMAE&usg=AFQjCNEvVc6TKCMzlp31WECmYvlsFvbHOQ,https://www.facebook.com/IndivisibleColumbusPage/,Indivisible Columbus | Facebook,
149,"Columbus Indivisible District 12 First Meeting. Public ... Hide Map. First Unitarian 
Universalist of Columbus. 93 W Weisheimer Rd, Columbus, Ohio 43214 ...",http://www.google.com/url?q=https://www.facebook.com/events/1660055577621138/&sa=U&ved=0ahUKEwi8pJrksOvSAhVm04MKHbNlB5EQFggeMAI&usg=AFQjCNGIH5I6XljDSQKHMWlzwEZDNzK35A,https://www.facebook.com/events/1660055577621138/,Columbus Indivisible District 12 First Meeting - Facebook,
153,"A group about civic engagement to ensure public accountability from leaders in 
local, state, and federal government.",http://www.google.com/url?q=https://www.meetup.com/Indivisible-UA/&sa=U&ved=0ahUKEwi8pJrksOvSAhVm04MKHbNlB5EQFggzMAY&usg=AFQjCNGoG87TEpABZ0T1_bt5NeYwzNlpxQ,https://www.meetup.com/Indivisible-UA/,"Indivisible UA (Columbus, OH) | Meetup",
159,"So, why do governments across Texas, at all levels, make it so difficult for those 
affected ... Some cities, including Fort Worth and Austin, have decided that public
 ...",http://www.google.com/url?q=https://www.indivisible.us/how-to-be-heard/&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFggeMAI&usg=AFQjCNGR30yaXZsDlGBrx0r1crmRZTnmgA,https://www.indivisible.us/how-to-be-heard/,How To Be Heard - Indivisible,
160,"Dec 30, 2016 ... For example, District 25 spans from Austin to Fort Worth, with a middle finger 
extending eastward through Austin. ... Texas District 25. Austin is ...",http://www.google.com/url?q=https://www.indivisibleaustin.com/2016/12/30/where-we-grow-from-here/&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFggjMAM&usg=AFQjCNHqRgQegnXvRBS3XkoPuHUZkgKbqw,https://www.indivisibleaustin.com/2016/12/30/where-we-grow-from-here/,Where We Grow From Here – INDIVISIBLE AUSTIN,
161,"Indivisible TX-30, Dallas, Texas. 120 likes · 4 talking about this. Inspired by the 
Indivisible Guide. Progressive Action in Dallas to resist the Trump...",http://www.google.com/url?q=https://www.facebook.com/indivisibletx30/&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFggpMAQ&usg=AFQjCNFPzReMT4PYGiqoT4Cxuf4rOeIGkA,https://www.facebook.com/indivisibletx30/,Indivisible TX-30 | Facebook,
162,"Indivisible TX-12 News. · February 6 at 8:59am ·. Urgent: Protest Opportunity 
Please share and turn up. Ted Cruz is speaking in Fort Worth Today, Feb. 6",http://www.google.com/url?q=https://www.facebook.com/indivisibleTX12News/%3Fref%3Dpage_internal%26hc_ref%3DPAGES_TIMELINE%26fref%3Dnf&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFgguMAU&usg=AFQjCNGJSZjRU4pIatLTQgpJ2eIV35J1eg,https://www.facebook.com/indivisibleTX12News/?ref=page_internal&hc_ref=PAGES_TIMELINE&fref=nf,Indivisible TX-12 News | Facebook,
163,"Indivisible TX-12 News shared a group. ..... Fort Worth coming out in force! .... Kay 
Granger's website says she is in Fort Worth every weekend to meet with us, ...",http://www.google.com/url?q=https://www.facebook.com/indivisibleTX12News/%3Fref%3Dpy_c&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFggzMAY&usg=AFQjCNE6-jc61Bi9nme9D0vFISYY1hnk7A,https://www.facebook.com/indivisibleTX12News/?ref=py_c,Indivisible TX-12 News | Facebook,
164,"Indivisible DFW, Dallas, Texas. 1121 likes · 1177 talking about ... At the Fort 
Worth protest ..... Indivisible DFW shared Texas Tribune's live video. · March 14 at
 ...",http://www.google.com/url?q=https://www.facebook.com/indivisibleDFW/&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFgg4MAc&usg=AFQjCNH9aTpJw9fzmUAedaHqsyQIaJrhEw,https://www.facebook.com/indivisibleDFW/,Indivisible DFW | Facebook,
166,"Great talk on the Indivisible groups and ways to be active as a progressive. ... My 
sincere appreciation to the Humanists of Fort Worth for allowing me to address ...",http://www.google.com/url?q=https://www.meetup.com/Humanists-of-Fort-Worth/events/236882495/&sa=U&ved=0ahUKEwij1bnksOvSAhWH7oMKHbRHDMQQFghDMAk&usg=AFQjCNEmyygnP0R4_pZHf-6gkNV6PqmhRQ,https://www.meetup.com/Humanists-of-Fort-Worth/events/236882495/,"Monthly Meeting: The ""Indivisible"" movement - Humanists of Fort ...",
167,"... about this. Charlotte Indivisible - Resist the Trump Agenda. ... Indivisible 
Charlotte rally at Sen Tillis (R-NC) ..... Then it flew to Charlotte NC a few hours 
later.",http://www.google.com/url?q=https://www.facebook.com/CharlotteIndivisible/&sa=U&ved=0ahUKEwjRsN_ksOvSAhUl34MKHS2ODFkQFggUMAA&usg=AFQjCNFTcoXTB7SYHwfMrzzUauU958r6dQ,https://www.facebook.com/CharlotteIndivisible/,Indivisible Charlotte | Facebook,
168,"Indivisible - Uptown Charlotte partners with sister Indivisible chapters and other... 
... See More · Newsletter Sign Up | U.S. Senator Richard Burr of North Carolina.",http://www.google.com/url?q=https://www.facebook.com/progressiveNCpatriots/&sa=U&ved=0ahUKEwjRsN_ksOvSAhUl34MKHS2ODFkQFggZMAE&usg=AFQjCNH33IYg8Y1-TGDQAJCwK-FDPnWZnQ,https://www.facebook.com/progressiveNCpatriots/,Indivisible - Uptown Charlotte | Facebook,
176,"INDIVISIBLE AND JUSTICE. Working together to resist the racist, authoritarian, 
and corrupt Trump agenda. Together, we have the power to win.",http://www.google.com/url?q=http://indivisibletennessee.com/&sa=U&ved=0ahUKEwiJmoflsOvSAhVI2oMKHUf4CCcQFggUMAA&usg=AFQjCNFlNNRmo4FfPsplxwaMIxjMqcZfBw,http://indivisibletennessee.com/,Indivisible Tennessee – Resisting In The Age Of Trump,
177,"Indivisible Middle Tennessee. 1301 likes · 83 talking about this. We stand for the 
well-being of all Tennesseans and against any governmental action...",http://www.google.com/url?q=https://www.facebook.com/IndivisibleMiddleTennessee/&sa=U&ved=0ahUKEwiJmoflsOvSAhVI2oMKHUf4CCcQFggZMAE&usg=AFQjCNGBu-LZtT-WUupVTO-jJzLM4A_gQg,https://www.facebook.com/IndivisibleMiddleTennessee/,Indivisible Middle Tennessee | Facebook,
186,"This group exists for Baltimore residents who care about the world we share and 
are willing to put in the effort to resist the Trump Agenda. If you are sick of ...",http://www.google.com/url?q=https://www.meetup.com/Indivisible-Baltimore/member/4515969/&sa=U&ved=0ahUKEwjY0bflsOvSAhVr1oMKHRGYA-8QFggZMAE&usg=AFQjCNHUcLfeGWLhsAoDU4F4VFsemXpd2A,https://www.meetup.com/Indivisible-Baltimore/member/4515969/,"Robert S. - Indivisible Baltimore- Downtown Area (Baltimore, MD ...",
